"accountId","lineItemId"
478054,1302612
475353,1297194
475356,1297216
475371,1297234
475361,1297227
475362,1297225
475374,1297238
475397,1297287
475401,1297290
475424,1297332
475444,1297378
475458,1297399
475368,1297229
475375,1297245
475381,1297265
475369,1297242
475378,1297252
475396,1297270
475385,1297272
475383,1297271
475395,1297273
475382,1297277
475387,1297275
475384,1297278
475389,1297288
475388,1297292
475399,1297294
475405,1297304
475406,1297303
475413,1297323
475410,1297325
475416,1297335
475417,1297338
475422,1297339
475429,1297346
475428,1297344
475425,1297352
475430,1297360
475442,1297370
475434,1297369
475443,1297374
475439,1297380
475392,1297291
475404,1297305
475408,1297320
475409,1297321
475412,1297326
475419,1297331
475411,1297334
475423,1297350
475415,1297345
475427,1297348
475420,1297351
475426,1297361
475435,1297362
475433,1297363
475431,1297365
475437,1297367
475432,1297372
475445,1297373
475436,1297375
475441,1297371
475440,1297384
475438,1297388
475450,1297393
475446,1297392
475453,1297397
475454,1297402
475459,1297408
475473,1297430
475475,1297447
475482,1297463
475488,1297473
475501,1297478
475495,1297495
475519,1297541
475523,1297555
475537,1297574
475452,1297413
475472,1297437
475480,1297454
475457,1297414
475461,1297420
475467,1297440
475477,1297448
475490,1297482
475455,1297407
475463,1297426
475456,1297416
475469,1297425
475474,1297429
475476,1297446
475489,1297481
475494,1297502
475510,1297526
475527,1297543
475533,1297551
475535,1297573
475551,1297592
475566,1297617
475570,1297636
475576,1297646
475585,1297657
475772,1298035
475780,1298051
475786,1298072
475794,1298087
475808,1298110
475822,1298154
475844,1298188
475855,1298205
475870,1298248
475885,1298258
475880,1298264
475891,1298280
475896,1298298
475905,1298316
475468,1297431
475500,1297496
475515,1297536
475460,1297435
475497,1297491
475506,1297501
475513,1297521
475520,1297537
475529,1297554
475542,1297579
475462,1297436
475478,1297450
475484,1297470
475465,1297438
475479,1297449
475485,1297472
475504,1297490
475521,1297540
475525,1297550
475547,1297581
475470,1297441
475464,1297444
475481,1297453
475483,1297456
475487,1297477
475496,1297493
475518,1297535
475491,1297483
475498,1297488
475486,1297486
475509,1297508
475517,1297528
475522,1297542
475530,1297548
475543,1297587
475555,1297607
475553,1297613
475564,1297620
475574,1297663
475597,1297684
475503,1297492
475492,1297498
475505,1297500
475507,1297512
475512,1297530
475511,1297533
475514,1297534
475526,1297545
475524,1297546
475528,1297547
475532,1297553
475531,1297556
475540,1297583
475546,1297585
475541,1297586
475545,1297588
475538,1297591
475550,1297594
475539,1297599
475552,1297603
475549,1297602
475565,1297619
475581,1297668
475596,1297686
475602,1297703
475554,1297606
475544,1297605
475567,1297618
475562,1297623
475577,1297644
475579,1297648
475582,1297666
475575,1297665
475593,1297676
475612,1297709
475611,1297721
475621,1297742
475639,1297775
475647,1297790
475658,1297819
475664,1297839
475683,1297865
475691,1297885
475704,1297897
475711,1297926
475724,1297939
475731,1297955
475737,1297974
475557,1297610
475568,1297621
475583,1297659
475592,1297677
475600,1297704
475559,1297612
475558,1297614
475563,1297622
475561,1297627
475569,1297633
475580,1297662
475588,1297664
475616,1297722
475627,1297746
475675,1297838
475680,1297858
475686,1297871
475769,1298034
475571,1297651
475572,1297654
475573,1297656
475578,1297671
475590,1297672
475591,1297674
475584,1297675
475587,1297681
475598,1297685
475604,1297705
475613,1297713
475606,1297712
475603,1297711
475615,1297723
475607,1297726
475618,1297728
475623,1297743
475622,1297751
475626,1297752
475628,1297758
475635,1297771
475640,1297774
475638,1297772
475650,1297789
475651,1297788
475649,1297794
475655,1297807
475595,1297683
475594,1297692
475599,1297697
475609,1297707
475601,1297710
475605,1297708
475614,1297717
475610,1297719
475608,1297725
475617,1297724
475620,1297735
475619,1297744
475630,1297754
475624,1297755
475625,1297760
475631,1297763
475637,1297765
475633,1297762
475632,1297759
475634,1297767
475636,1297769
475629,1297777
475645,1297785
475660,1297817
475673,1297847
475641,1297776
475646,1297783
475667,1297827
475697,1297882
475644,1297781
475653,1297804
475643,1297784
475642,1297782
475659,1297818
475669,1297833
475696,1297888
475717,1297925
475723,1297940
475734,1297956
475648,1297795
475652,1297806
475654,1297811
475668,1297828
475657,1297830
475676,1297843
475679,1297859
475687,1297870
475699,1297887
475714,1297933
475738,1297973
475745,1297984
475748,1297997
475763,1298027
475914,1298308
475918,1298331
475925,1298347
475950,1298417
475970,1298431
475663,1297820
475661,1297822
475671,1297834
475672,1297850
475684,1297864
475694,1297874
475722,1297945
475728,1297957
475662,1297823
475674,1297844
475656,1297825
475665,1297826
475670,1297832
475678,1297851
475666,1297835
475692,1297880
475701,1297898
475708,1297919
475721,1297941
475729,1297960
475677,1297853
475681,1297867
475685,1297868
475682,1297869
475690,1297881
475688,1297883
