accountId,lineItemId,statementId
489854,4545122,287417
489855,4545128,287419
489856,4545134,287421
489869,4545140,287423
489872,4545056,287424
489873,4545057,287425
489902,4545084,287945
490029,4545089,287950
490030,4545090,287951
490033,4545095,287956
490034,4545096,287957
490037,4545101,287962
490038,4545102,287963
490041,4545107,287968
490042,4545108,287969
490048,4545109,287970
490049,4545110,287971
490051,4545111,287972
490070,2632917,287990
490073,4370614,287993
490080,4388342,288002
490081,4358848,288003
490084,4463001,288008
490085,4543797,288009
490088,2646633,288014
490089,4385656,288015
490092,4385695,288020
490093,4378617,288021
490096,4314719,288022
490099,4381984,288025
490105,4287823,288031
490106,4367964,288033
490107,4325479,288035
490111,2666723,288040
490112,4322885,288041
490115,4543565,288046
490116,4384056,288047
490120,2649999,288052
490121,4387977,288053
490124,4371963,288058
490125,4293860,288059
490131,4385161,288067
490134,4371415,288070
490141,4383440,288077
490142,2663805,288079
490143,4221259,288081
490144,4376188,288082
490145,4387143,288106
490146,4386564,288084
490147,2587676,288085
490150,4369789,288088
490156,4382503,288094
490159,4385728,288097
490165,4388927,288105
490166,4385566,288107
490169,4332707,288110
490175,4349129,288115
490176,4365449,288131
490179,4543859,288118
490184,4363662,288123
490187,4388855,288126
490198,4371099,288132
490248,4386929,288238
490271,4375488,288289
490275,4370978,288291
490280,4388229,288294
490281,4387517,288297
490282,4373058,288300
490285,4362371,288302
490286,4239355,288304
490287,4378703,288306
490295,4367977,288308
490296,4543887,288310
490297,4385257,288312
490298,4374321,288314
490300,4380853,288316
490301,4381954,288318
490302,4388901,288320
490304,4385042,288322
490305,4354216,288324
490306,2659402,288326
490307,4377301,288328
490308,4358863,288330
490309,4383638,288332
490310,4384546,288334
490311,4386085,288336
490316,4544071,288337
490322,4362700,288347
490323,4361191,288349
490324,4371834,288351
490325,4386718,288353
490329,4388034,288354
490346,4348196,288365
490348,4343410,288368
490349,2667880,288367
490350,4377622,288370
490352,2600288,288372
490361,2599792,288373
490373,4385275,288382
490383,2665466,288393
490412,2593299,288406
490438,4378896,288494
490478,1330111,288697
492206,4340842,289390
492210,2611716,289393
492213,4370125,289396
492221,2665627,289397
492232,4387571,289411
492235,4337281,289412
492245,4366539,289423
492254,4387843,289436
492258,4325517,289437
492268,4464634,289448
492281,4355694,289459
492308,1335564,289471
492309,4365326,289473
492310,1335572,289475
492311,2648888,289477
492386,4376095,289478
492396,4543809,289489
492406,4364254,289500
492417,4371178,289511
492428,4543733,289522
492438,4302369,289533
492448,4378196,289544
492458,4368940,289555
492468,4376283,289566
492479,4544309,289577
492489,2598479,289588
492499,4497802,289601
492504,4372114,289603
492514,4358347,289614
492524,4382853,289625
492534,4313297,289636
492545,4347276,289647
492556,4365356,289659
492567,4386441,289674
492568,4382129,289675
492570,2654010,289677
492573,4381121,289680
492581,4374470,289685
492590,4382817,289698
492600,4380229,289706
492601,4387003,289707
492616,4543835,289729
492617,4359719,289730
492625,4372456,289799
492626,2525164,289802
492627,4349512,289804
492628,4360376,289806
492630,2667404,289823
492631,4360353,289826
492632,4381003,289828
492633,4380497,289830
492634,4365577,289832
492635,4378171,289833
492636,4368279,289834
492678,2595933,289837
492690,2658107,289849
492691,4371139,289851
492692,4383450,289853
492693,4356056,289855
492694,4544165,289857
492695,4497700,289859
492696,4384397,289861
492697,4388139,289863
492698,4368538,289865
492701,4370703,289867
492702,4383618,289869
492703,4543626,289871
492704,4387419,289873
492705,4544467,289875
492706,4381695,289877
492707,4387045,289879
492708,2640159,289881
492709,4328281,289883
492710,2667847,289885
492711,4544301,289887
492712,4544312,289889
492713,2667601,289891
492714,2657846,289893
492715,4383068,289895
492716,4362928,289897
492717,4382065,289899
492718,4377349,289901
492719,2663103,289903
492720,2633631,289905
492721,4365898,289907
492722,4363064,289909
492723,4375056,289911
492724,4386726,289913
492726,4382754,289915
492727,4379747,289917
492728,4386396,289919
492729,4354629,289921
492730,4362302,289923
492731,4382026,289925
492732,4359257,289927
492733,4379636,289929
492734,4544233,289931
492735,4380840,289933
492737,4388615,289935
492738,4384780,289937
492739,4544126,289939
492740,4365690,289941
492741,4372444,289943
492742,2666388,289945
492743,4380546,289947
492744,4387589,289949
492745,4377823,289951
492746,4543472,289953
492747,4315299,289955
492748,1337342,289957
492749,4382496,289959
492750,4355788,289961
492751,4388009,289963
492752,4544397,289965
492753,4332410,289967
492754,4360113,289969
492755,4544109,289971
492756,4544341,289973
492757,4386503,289975
492758,4375926,289977
492761,4374004,289979
492762,4382731,289981
492763,4388326,289983
492764,4340388,289985
492766,4368463,289987
492767,4544343,289989
492768,4374389,289991
492769,4322822,289993
492770,1337478,289995
492771,4331523,289997
492777,4365456,290002
492778,4374878,290003
492783,4337795,290008
492784,4388922,290009
492789,2666264,290014
492790,4373706,290015
492796,4387312,290020
492797,2579549,290021
492800,4388830,290023
492801,4377854,290024
492802,4544269,290025
492803,4351228,290026
492804,1337724,290027
492805,4384566,290028
492806,2668031,290029
492807,4381883,290030
492808,4543603,290031
492809,4388150,290032
492810,4279694,290033
492811,4386050,290034
492814,4344824,290035
492815,4380118,290036
492816,4351628,290037
492817,2631537,290038
492818,4386666,290039
492819,4387092,290040
492820,4388908,290041
492821,4363034,290042
492822,4370231,290043
492823,2656815,290044
492824,2615022,290045
492825,4388487,290046
492826,4383902,290047
492827,4543839,290048
492828,4350690,290049
492829,4385270,290050
492830,2664790,290051
492868,4359882,290053
492869,4374121,290055
492870,4379979,290057
492871,4369681,290059
492872,4351582,290061
492873,4543701,290063
492874,4371889,290065
492875,4544007,290067
492876,4374662,290068
492877,4377276,290069
492878,4371157,290070
492879,4543585,290071
492880,4543957,290072
492881,4365786,290073
492882,4379007,290074
492883,4287297,290075
492884,4364905,290076
492885,4384230,290077
492886,4378213,290078
492887,4382357,290079
492890,4381321,290081
492891,4389096,290083
492892,4387742,290085
492893,4544176,290087
492902,4360419,290099
492915,4384692,290110
492924,4544250,290121
492926,4375069,290122
492930,4544237,290129
492931,4337867,290130
492932,4363973,290135
492934,4338411,290140
492936,2667563,290247
492938,4385311,290248
492939,4364619,290249
492940,2634597,290250
492941,4383402,290251
492942,4360623,290252
492945,4328322,290257
492946,4388170,290258
492949,4381817,290263
492950,4383272,290264
492953,4345968,290269
492954,4544193,290270
492970,4301280,290342
492971,4384092,290344
492972,4336385,290346
492973,4364132,290348
492975,4359247,290350
492976,4380362,290352
492977,4543883,290354
492978,4384457,290356
493005,4447394,290407
493018,4358292,290428
493038,4544227,290462
493039,4374735,290463
493040,4377238,290464
493041,4385812,290465
493042,4374233,290466
493046,4380096,290469
493047,4274066,290472
493048,4381038,290473
493049,4387593,290474
493050,2659517,290475
493051,4383344,290476
493054,4388496,290479
493055,4386299,290482
493057,4387151,290483
493058,4347522,290484
493059,4378845,290485
493060,4361504,290486
493063,4384918,290489
493064,4543973,290492
493065,4335245,290493
493066,4544153,290494
493067,4387132,290495
493068,4360476,290496
493071,4544217,290499
493072,4383869,290502
493074,4325261,290503
493075,4543632,290514
493076,4387714,290504
493077,2599287,290505
493078,1339217,290506
493081,4341360,290509
493082,4544481,290512
493083,4321899,290515
493084,2635301,290516
493085,4362097,290517
493086,4379862,290518
493089,4311077,290521
493090,4543681,290524
493091,4380080,290526
493095,4376540,290533
493096,4215039,290534
493097,4543759,290535
493098,4373333,290536
493101,4387841,290539
493102,4385307,290542
493103,4359939,290543
493104,4387204,290544
493105,2624277,290545
493106,4363899,290546
493109,4349997,290549
493110,1339442,290552
493122,4388866,290583
493123,4381386,290584
493124,4361171,290585
493125,4386876,290586
493128,4321047,290589
493129,4387691,290592
493130,2570133,290593
493131,4382302,290594
493132,4344298,290595
493133,4543581,290596
493136,4544395,290599
493137,4544267,290602
493148,4316926,290636
493149,4356922,290637
493150,4334940,290641
493151,4366127,290642
493155,4447319,290646
493156,4378943,290649
493167,4365174,290738
493168,1339830,290690
493169,4331737,290691
493170,2666516,290692
493171,4349926,290693
493174,4353673,290696
493175,4387705,290699
493182,4357014,290717
493183,2658387,290718
493184,4379956,290720
493186,4357487,290723
493189,1339966,290726
493195,2665129,290739
493196,4366339,290740
493197,4379864,290741
493198,4543967,290742
493202,4447323,290743
493203,2614201,290744
493205,4384463,290746
493206,4386373,290748
493209,4544171,290751
493211,4544181,290754
493221,4544443,290783
493237,4373221,290825
493238,4544103,290837
493239,4544451,290849
493240,4387551,290850
493241,4368780,290862
493253,4543661,290876
493254,4301852,290878
493255,4383697,290879
493256,4371448,290880
493259,4544139,290884
493261,4379910,290888
493266,4380666,290902
493267,4366565,290903
493270,4372813,290904
493272,4379871,290905
493273,4378878,290906
493277,4543703,290910
493279,4355238,290913
493291,4367189,290928
493306,4388690,290959
493307,4333695,290961
493308,2666603,290962
493309,4381614,290963
493312,4374789,290967
493313,4357824,290970
493317,4385945,290971
493336,4361887,291001
493337,4543630,291003
493338,4383374,291004
493339,2645381,291006
493347,4388724,291018
493348,4388957,291019
493349,4333853,291020
493351,4378928,291022
493353,4464552,291024
493358,4375420,291031
493360,4366673,291034
493366,4369225,291039
493372,4389084,291050
493378,4361113,291051
493397,4384094,291072
493405,4543729,291083
493406,2647651,291084
493407,4388864,291085
493408,4383933,291086
493411,4383087,291089
493412,2659063,291092
493417,4313707,291093
493433,4382856,291105
493435,4385555,291107
493439,4383245,291108
493447,4374748,291121
493462,2661197,291157
493474,4385127,291168
493485,4377212,291180
493511,2621399,291264
493524,4544057,291302
493534,4386254,291332
493544,4544363,291360
493561,2661838,291396
493562,2632014,291397
493563,4298191,291398
493566,4381812,291400
493570,4452020,291401
493571,4380961,291402
493573,4387934,291403
493574,4350695,291405
493589,4380740,291407
493591,4364809,291409
493592,2657939,291411
493610,4352000,291413
493618,4336077,291415
493619,4376342,291417
493621,4387443,291419
493622,4447322,291420
493623,4367481,291421
493624,4250419,291422
493625,2646637,291423
493628,4388353,291426
493629,4325603,291429
493630,4385047,291431
493631,4376454,291433
493632,4543811,291435
493634,4382405,291437
493636,4371795,291439
493637,4383189,291441
493638,4363385,291443
493639,4368458,291445
493641,4543965,291447
493642,4386599,291449
493643,4349257,291451
493644,1342191,291453
493645,4376411,291455
493646,4382692,291457
493647,4386196,291459
493648,2652100,291461
493649,4388184,291462
493651,4369476,291464
493652,4351273,291466
493653,4379816,291468
493655,4371628,291470
493656,4372014,291472
