accountId,lineItemId,statementId
489854,4544945,287417
489855,4544949,287419
489856,4544953,287421
489869,4544957,287423
489872,4544959,287424
489873,4544961,287425
489877,4544877,287426
489878,4544878,287427
489879,4544881,287433
489880,4544882,287441
489881,4544885,287449
489882,4544886,287459
489883,4544889,287467
489884,4544891,287481
489885,4544893,287495
489886,4544895,287511
489887,4544896,287528
489888,4544899,287548
489889,4544900,287569
489890,4544903,287590
489891,4544904,287611
489892,4544907,287637
489893,4544908,287664
489894,4544911,287693
489895,4544912,287723
489896,4544915,287756
489897,4544916,287789
489898,4544919,287824
489899,4544920,287861
489900,4544922,287900
489902,4544928,287945
490027,4544932,287947
490028,4544936,287949
490029,4544938,287950
490030,4543599,287951
490031,4382040,287953
490032,4381165,287955
490033,4382132,287956
490034,4544085,287957
490035,4385271,287959
490036,4368358,287961
490037,4543620,287962
490038,4389027,287963
490039,4372575,287965
490040,4354332,287967
490041,4380763,287968
490042,4349102,287969
490048,4377326,287970
490049,4387673,287971
490051,1328302,287972
490060,4376785,287973
490061,4384376,287975
490062,4385967,287978
490063,3146314,287982
490064,4358328,287983
490065,4371573,287985
490067,4388236,287988
490069,4385160,287989
490070,2632917,287990
490071,4387699,287991
490072,4344857,287992
490073,4370614,287993
490074,4384816,287994
490075,3148231,287995
490076,4380051,287996
490077,4366189,287997
490078,4387552,287999
490079,4543996,288001
490080,4388342,288002
490081,4358848,288003
490082,4387293,288005
490083,4387825,288007
490084,4463001,288008
490085,4543797,288009
490086,4543975,288011
490087,4382946,288013
490088,2646633,288014
490089,4385656,288015
490090,4365873,288017
490091,4385391,288019
490092,4385695,288020
490093,4378617,288021
490096,4314719,288022
490097,4337704,288023
490098,4329886,288024
490099,4381984,288025
490100,4544439,288026
490101,4368894,288027
490102,4379720,288028
490103,4342619,288029
490105,4287823,288031
490106,4367964,288033
490107,4325479,288035
490109,4369170,288037
490110,4544029,288039
490111,2666723,288040
490112,4322885,288041
490113,4383474,288043
490114,3151167,288045
490115,4543565,288046
490116,4384056,288047
490118,4383012,288049
490119,4544293,288051
490120,2649999,288052
490121,4387977,288053
490122,4378872,288055
490123,4448111,288057
490124,4371963,288058
490125,4293860,288059
490127,4544331,288065
490131,4385161,288067
490132,3138618,288068
490133,4363028,288069
490134,4371415,288070
490135,4383753,288071
490136,4379731,288072
490137,4349535,288073
490138,3145389,288074
490139,4385073,288075
490141,4383440,288077
490142,2663805,288079
490143,4221259,288081
490144,4376188,288082
490145,4387143,288106
490146,4386564,288084
490147,2587676,288085
490148,4375380,288086
