tc_name,index,product_type,product_json_file,delinquent,charge_off,cycle_interval,cycle_due_interval,first_cycle_interval,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,account_effective_dt,account_status
pp431 - Verify opened Account status is Active for Installment product,1,Installment,payment_product.json,5,6,7 days,5 days,7 days,NONE,0,0,-3,ACTIVE
pp432 - Verify opened Account status is Active for CreditCard product,2,Credit Card,product_credit.json,5,6,7 days,5 days,7 days,NONE,0,0,-3,ACTIVE
pp433 - Verify opened Account status is Active for Revolving product,3,Revolving,product_revolving.json,5,6,7 days,5 days,7 days,PERCENT_PRINCIPAL,3,10,-3,ACTIVE
pp434 - Verify delinquent account status is Suspended for Installment product,4,Installment,payment_product.json,1,3,4 days,2 days,4 days,NONE,0,0,-10,SUSPENDED
pp435 - Verify delinquent account status is Suspended for CreditCard product,5,Credit Card,product_credit.json,1,3,4 days,2 days,4 days,NONE,0,0,-7,SUSPENDED
pp436 - Verify delinquent account status is Suspended for Revolving product,6,Revolving,product_revolving.json,1,3,4 days,2 days,4 days,PERCENT_PRINCIPAL,3,10,-7,SUSPENDED
pp440 - Verify chargeoff account status is Closed for Installment product,7,Installment,payment_product.json,1,2,4 days,2 days,4 days,NONE,0,0,-15,CLOSED
pp441 - Verify chargeoff account status is Closed for CreditCard product,8,Credit Card,product_credit.json,1,2,4 days,2 days,4 days,NONE,0,0,-15,CLOSED
pp442 - Verify chargeoff account status is Closed for Revolving product,9,Revolving,product_revolving.json,1,2,4 days,2 days,4 days,PERCENT_PRINCIPAL,3,10,-30,CLOSED
pp1031 - Verify Account Status /sub status does not get updated during grace period,10,Installment,payment_product.json,1,2,7 days,5 days,7 days,NONE,0,0,-2,ACTIVE
pp1032 - Verify Account Status /sub status does not get updated till the Grace period expiry date,11,Installment,payment_product.json,1,2,7 days,5 days,7 days,NONE,0,0,-3,ACTIVE
pp1033 - Verify Account Status /sub status gets updated to Suspended / Delinquency only after grace period expires,12,Installment,payment_product.json,1,2,7 days,5 days,7 days,NONE,0,0,-7,SUSPENDED
