tc_name,index,product_tye,product_template_name,delinquent,charge_off,account_template_name,post_promo_len,cycle_interval,cycle_due_interval,first_cycle_interval,account_effective_dt,origination_fee_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents
TC2043 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 0 days,2,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,6,7 days,2 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2044 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 0 days,3,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,6,7 days,5 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2045 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval -2 days first cycle 0 days,4,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,6,7 days,-2 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2046 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 5 days,5,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,6,7 days,2 days,5 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2047 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 10 days,6,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,6,7 days,5 days,10 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2048 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 7 days,7,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,6,7 days,2 days,7 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,9,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,14 days,2 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,10,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,14 days,5 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,11,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,14 days,-2 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,12,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,14 days,2 days,12 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,13,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,14 days,5 days,16 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,14,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,14 days,2 days,14 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,16,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,21 days,2 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,17,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,21 days,5 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,18,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,21 days,-5 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2060 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 15 days,19,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,21 days,2 days,15 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2061 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 25 days,20,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,21 days,5 days,25 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2062 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 21 days,21,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,21 days,2 days,21 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2064 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 30 days cycle due interval 2 days first cycle 0 days,23,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,24,30 days,2 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2065 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 7 days first cycle 0 days,24,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,36,30 days,7 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2066 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval -7 days first cycle 0 days,25,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,36,30 days,-7 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2067 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 30 days cycle due interval 2 days first cycle 15 days,26,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,36,30 days,2 days,15 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2068 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 5 days first cycle 45 days,27,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,48,30 days,5 days,45 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2069 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 30 days cycle due interval 2 days first cycle 30 days,28,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,48,30 days,2 days,30 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2071 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 1 month cycle due interval 2 days first cycle 0 days,30,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,12,1 month,2 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2072 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval 7 days first cycle 0 days,31,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,24,1 month,7 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2073 - Verify cycle type details in AM schedule with post promo len as 24 cycle interval 1 month cycle due interval -7 days first cycle 0 days,32,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,24,1 month,-7 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2074 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 1 month cycle due interval 2 days first cycle 15 days,33,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,36,1 month,2 days,15 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2075 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 1 month cycle due interval 5 days first cycle 45 days,34,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,36,1 month,5 days,45 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2076 - Verify cycle type details in AM schedule with post promo len as 36 cycle interval 1 month cycle due interval 2 days first cycle 1 month,35,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,36,1 month,2 days,1 month,2021-11-28T12:16:16-00:00,0,0,0,0
TC2077 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 1 month cycle due interval 25 days first cycle 0 days,36,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,48,1 month,25 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2078 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 1 month cycle due interval -5 days first cycle 0 days,37,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,48,1 month,-5 days,0 days,2021-11-28T12:16:16-00:00,0,0,0,0
TC2079 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 3 months cycle due interval 5 days first cycle 0 days,38,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,38,3 months,5 days,0 days,2021-11-30T12:16:16-00:00,0,0,0,0
TC2080 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 3 months cycle due interval 10 days first cycle 3 months,39,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,48,3 months,10 days,3 months,2021-11-30T12:16:16-00:00,0,0,0,0
TC2081 - Verify cycle type details in AM schedule with post promo len as 48 cycle interval 3 months cycle due interval 10 days first cycle 4 months,40,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,56,3 months,10 days,4 months,2021-11-30T12:16:16-00:00,0,0,0,0
TC2082 - Verify cycle type details in AM schedule with post promo len as 56 cycle interval 3 months cycle due interval -10 days first cycle 0 days,41,INSTALLMENT,payment_product_cycle_interval.json,99,99999,account_payment_cycle_interval.json,56,3 months,-10 days,0 days,2021-11-30T12:16:16-00:00,0,0,0,0
