account_tc_id,tc_name,index,cycle_number,exp_cycle_exclusive_end,exp_min_pay_due_at
TC2043 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 0 days,DD_2 - first cycle billing cycle type details,1,1,2021-11-29T,2021-12-01T
TC2043 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 0 days,DD_2 - second cycle billing cycle type details,2,2,2021-12-06T,2021-12-08T
TC2043 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 0 days,DD_2 - third cycle billing cycle type details,3,3,2021-12-13T,2021-12-15T
TC2043 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 0 days,DD_2 - fourth cycle billing cycle type details,4,4,2021-12-20T,2021-12-22T
TC2043 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 0 days,DD_2 - fifth cycle billing cycle type details,5,5,2021-12-27T,2021-12-29T
TC2043 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 0 days,DD_2 - sixth cycle billing cycle type details,6,6,2022-01-03T,2022-01-05T
TC2044 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 0 days,DD_3 - first cycle billing cycle type details,7,1,2021-11-29T,2021-12-04T
TC2044 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 0 days,DD_3 - second cycle billing cycle type details,8,2,2021-12-06T,2021-12-11T
TC2044 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 0 days,DD_3 - third cycle billing cycle type details,9,3,2021-12-13T,2021-12-18T
TC2044 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 0 days,DD_3 - fourth cycle billing cycle type details,10,4,2021-12-20T,2021-12-25T
TC2044 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 0 days,DD_3 - fifth cycle billing cycle type details,11,5,2021-12-27T,2022-01-01T
TC2044 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 0 days,DD_3 - sixth cycle billing cycle type details,12,6,2022-01-03T,2022-01-08T
TC2045 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval -2 days first cycle 0 days,DD_4 - first cycle billing cycle type details,13,1,2021-11-29T,2021-12-04T
TC2045 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval -2 days first cycle 0 days,DD_4 - second cycle billing cycle type details,14,2,2021-12-06T,2021-12-11T
TC2045 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval -2 days first cycle 0 days,DD_4 - third cycle billing cycle type details,15,3,2021-12-13T,2021-12-18T
TC2045 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval -2 days first cycle 0 days,DD_4 - fourth cycle billing cycle type details,16,4,2021-12-20T,2021-12-25T
TC2045 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval -2 days first cycle 0 days,DD_4 - fifth cycle billing cycle type details,17,5,2021-12-27T,2022-01-01T
TC2045 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval -2 days first cycle 0 days,DD_4 - sixth cycle billing cycle type details,18,6,2022-01-03T,2022-01-08T
TC2046 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 5 days,DD_5 - first cycle billing cycle type details,19,1,2021-12-04T,2021-12-06T
TC2046 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 5 days,DD_5 - second cycle billing cycle type details,20,2,2021-12-11T,2021-12-13T
TC2046 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 5 days,DD_5 - third cycle billing cycle type details,21,3,2021-12-18T,2021-12-20T
TC2046 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 5 days,DD_5 - fourth cycle billing cycle type details,22,4,2021-12-25T,2021-12-27T
TC2046 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 5 days,DD_5 - fifth cycle billing cycle type details,23,5,2022-01-01T,2022-01-03T
TC2046 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 5 days,DD_5 - sixth cycle billing cycle type details,24,6,2022-01-08T,2022-01-10T
TC2047 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 10 days,DD_6 - first cycle billing cycle type details,25,1,2021-12-09T,2021-12-14T
TC2047 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 10 days,DD_6 - second cycle billing cycle type details,26,2,2021-12-16T,2021-12-21T
TC2047 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 10 days,DD_6 - third cycle billing cycle type details,27,3,2021-12-23T,2021-12-28T
TC2047 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 10 days,DD_6 - fourth cycle billing cycle type details,28,4,2021-12-30T,2022-01-04T
TC2047 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 10 days,DD_6 - fifth cycle billing cycle type details,29,5,2022-01-06T,2022-01-11T
TC2047 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 5 days first cycle 10 days,DD_6 - sixth cycle billing cycle type details,30,6,2022-01-13T,2022-01-18T
TC2048 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 7 days,DD_7 - first cycle billing cycle type details,31,1,2021-12-06T,2021-12-08T
TC2048 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 7 days,DD_7 - second cycle billing cycle type details,32,2,2021-12-13T,2021-12-15T
TC2048 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 7 days,DD_7 - third cycle billing cycle type details,33,3,2021-12-20T,2021-12-22T
TC2048 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 7 days,DD_7 - fourth cycle billing cycle type details,34,4,2021-12-27T,2021-12-29T
TC2048 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 7 days,DD_7 - fifth cycle billing cycle type details,35,5,2022-01-03T,2022-01-05T
TC2048 - Verify cycle type details in AM schedule with post promo len as 6 cycle interval 7 days cycle due interval 2 days first cycle 7 days,DD_7 - sixth cycle billing cycle type details,36,6,2022-01-10T,2022-01-12T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - first cycle billing cycle type details,37,1,2021-11-29T,2021-12-01T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - second cycle billing cycle type details,38,2,2021-12-13T,2021-12-15T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - third cycle billing cycle type details,39,3,2021-12-27T,2021-12-29T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - fourth cycle billing cycle type details,40,4,2022-01-10T,2022-01-12T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - fifth cycle billing cycle type details,41,5,2022-01-24T,2022-01-26T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - sixth cycle billing cycle type details,42,6,2022-02-07T,2022-02-09T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - seventh cycle billing cycle type details,43,7,2022-02-21T,2022-02-23T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - eighth cycle billing cycle type details,44,8,2022-03-07T,2022-03-09T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - ninth cycle billing cycle type details,45,9,2022-03-21T,2022-03-23T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - tenth cycle billing cycle type details,46,10,2022-04-04T,2022-04-06T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - eleventh cycle billing cycle type details,47,11,2022-04-18T,2022-04-20T
TC2050 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 0 days,DD_9 - twelfth cycle billing cycle type details,48,12,2022-05-02T,2022-05-04T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - first cycle billing cycle type details,49,1,2021-11-29T,2021-12-04T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - second cycle billing cycle type details,50,2,2021-12-13T,2021-12-18T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - third cycle billing cycle type details,51,3,2021-12-27T,2022-01-01T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - fourth cycle billing cycle type details,52,4,2022-01-10T,2022-01-15T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - fifth cycle billing cycle type details,53,5,2022-01-24T,2022-01-29T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - sixth cycle billing cycle type details,54,6,2022-02-07T,2022-02-12T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - seventh cycle billing cycle type details,55,7,2022-02-21T,2022-02-26T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - eighth cycle billing cycle type details,56,8,2022-03-07T,2022-03-12T
