tc_name,index,processing_type,status,sub_status,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,allocation,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance,deferred_interest_balance_cents,post_promo_len,post_promo_impl_interest_rate_percent
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,1,createProduct,non_deferred_interest_product.json,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,2,createAccount,non_deferred_interest_account.json,,,,,,,,,,,,,,,,6,9.99
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,3,charge,,,,2021-01-16T13:19:56+00:00,,50000,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,4,validateLineItem,,,,,,-50000,CHARGE,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,5,rollTimeForward,,,2021-02-17T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,6,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,7,validateAccountSummary,,,,,,,,,,,0,0,0,50000,50000,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,8,getStatementID,,,,,,,,,2021-01-15T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,9,validateStatement,,,,,,,,,,Multi_Adv,0,0,0,50000,50000,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,10,createACHPayment,,,,2021-02-20T11:48:18.254199+00,,1615,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,11,validateLineItem,,,,,,1615,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,12,rollTimeForward,,,2021-03-19T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,13,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,14,validateAccountSummary,,,,,,,,,,,0,0,0,48385,48385,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,15,getStatementID,,,,,,,,,2021-02-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,16,validateStatement,,,,,,,,,,Multi_Adv,0,0,0,48385,48385,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,17,createACHPayment,,,,2021-03-20T11:48:18.254199+00,,1563,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,18,validateLineItem,,,,,,1563,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,19,rollTimeForward,,,2021-04-17T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,20,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,21,validateAccountSummary,,,,,,,,,,,0,0,0,46822,46822,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,22,getStatementID,,,,,,,,,2021-03-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,23,validateStatement,,,,,,,,,,Multi_Adv,0,0,0,46822,46822,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,24,createACHPayment,,,,2021-04-20T11:48:18.254199+00,,1512,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,25,validateLineItem,,,,,,1512,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,26,rollTimeForward,,,2021-05-17T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,27,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,28,validateAccountSummary,,,,,,,,,,,0,377,0,45310,45687,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,29,getStatementID,,,,,,,,,2021-04-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,30,validateStatement,,,,,,,,,,installment,0,377,0,45310,45687,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,31,AMSchedule,,,,,,,,,,,,,,,,,6,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,32,createACHPayment,,,,2021-05-20T11:48:18.254199+00,,7773,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,33,validateLineItem,,,,,,7773,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,34,rollTimeForward,,,2021-06-19T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,35,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
