account_tc_id,tc_name,index,cycle_number,transaction_type,type,roll_date,effective_at,amount_paid,due_date,min_pay_amount,cycle_payment,interest,principal,fee_balance,opening_balance,closing_balance,paid_on_time
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for first month,1,1,validation_AM,,2020-11-08,,0,2020-12-07T,85145,0,3325,81820,0,1000000,918180,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for second month,2,2,validation_AM,,,,0,2021-01-07T,85145,0,3052,82093,0,918180,836087,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for third month,3,3,validation_AM,,,,0,2021-02-07T,85145,0,2779,82366,0,836087,753721,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for fourth month,4,4,validation_AM,,,,0,2021-03-07T,85145,0,2506,82639,0,753721,671082,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for fifth month,5,5,validation_AM,,,,0,2021-04-07T,85145,0,2231,82914,0,671082,588168,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for sixth month,6,6,validation_AM,,,,0,2021-05-07T,85145,0,1955,83190,0,588168,504978,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for seventh month,7,7,validation_AM,,,,0,2021-06-07T,85145,0,1679,83466,0,504978,421512,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for eighth month,8,8,validation_AM,,,,0,2021-07-07T,85145,0,1401,83744,0,421512,337768,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for ninth month,9,9,validation_AM,,,,0,2021-08-07T,85145,0,1123,84022,0,337768,253746,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for tenth month,10,10,validation_AM,,,,0,2021-09-07T,85145,0,843,84302,0,253746,169444,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for eleventh month,11,11,validation_AM,,,,0,2021-10-07T,85145,0,563,84582,0,169444,84862,FALSE
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for twelfth month,12,12,validation_AM,,,,0,2021-11-07T,85144,0,282,84862,0,84862,0,FALSE
PP787 - Interest calculation for Installment Product with payment on time,First month paid,14,1,payment,,,2020-12-06T02:18:27-05:00,85145,,,,,,,,,
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for first month payment on time,15,1,validate_AM_for_month,,2020-12-10,,0,2020-12-07T,85145,-85145,3325,81820,0,1000000,918180,TRUE
PP787 - Interest calculation for Installment Product with payment on time,Second month paid,16,2,payment,,,2021-01-06T02:18:27-05:00,85145,,,-85145,,,,,,
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for second month payment on time,17,2,validate_AM_for_month,,2021-01-10,,0,2021-01-07T,85145,-85145,3052,82093,0,918180,836087,TRUE
PP787 - Interest calculation for Installment Product with payment on time,Third month paid,18,3,payment,,,2021-02-06T02:18:27-05:00,85145,,,-85145,,,,,,
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for third month payment on time,19,3,validate_AM_for_month,,2021-02-10,,0,2021-02-07T,85145,-85145,2779,82366,0,836087,753721,TRUE
PP787 - Interest calculation for Installment Product with payment on time,Fourth month paid,20,4,payment,,,2021-03-06T02:18:27-05:00,85145,,,-85145,,,,,,
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for fourth month payment on time,21,4,validate_AM_for_month,,2021-03-10,,0,2021-03-07T,85145,-85145,2506,82639,0,753721,671082,TRUE
PP787 - Interest calculation for Installment Product with payment on time,Fifth month paid,22,5,payment,,,2021-04-06T02:18:27-05:00,85145,,,-85145,,,,,,
PP787 - Interest calculation for Installment Product with payment on time,Amortization Schedule for fifth month payment on time,23,5,validate_AM_for_month,,2021-04-10,,0,2021-04-07T,85145,-85145,2231,82914,0,671082,588168,TRUE
PP787 - Interest calculation for Installment Product with payment on time,Sixth month paid,24,6,payment,,,2021-05-06T02:18:27-05:00,85145,,,-85145,,,,,,
