tc_name,index,check_additional_charge,check_credit_offset,check_debit_offset,check_payment,check_payment_reversal,product_type,exp_product_file_name,delinquent,charge_off,account_effective_dt,cycle_interval,cycle_due_interval,account_effective_dt_time,credit_limit_cents,initial_principal_cents,origination_fee_cents,late_fee_cents,payment_reversal_fee_cents,monthly_fee_cents,annual_fee_cents,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,payment1_effective_date,payment1_amt_cents,payment2_effective_date,charge_amt_cents,Rolltime_after_onboard,balance_cents,principal_cents,balance_charge_cents,principal_charge_cents,payment1_val_cents,balance_payment_cents,principal_payment_cents,balance_orig_cents,principal_orig_cents,monthly_fee_effective_date,balance_month_cents,principal_month_cents,annual_fee_effective_date,balance_annual_cents,principal_annual_cents,debit_effective_date,debit_offset_val,balance_debit_offset,principal_debit_offset,credit_offset_val,balance_credit_offset,principal_credit_offset,payment_reversal_date,payment_amt_rev,balance_pay_rev,principal_pay_rev,balance_pay_rev_fee,principal_pay_rev_fee,late_fee_effective_date,balance_late_fee_cents,principal_late_fee_cents,interest_balance_cents,deferred_interest_balance_cents,am_deferred_interest_balance_cents,am_interest_balance_cents,total_interest_paid_to_date_cents
PP1470 - Get Charges and Initial Cents and interest Line items on Installment.,1,FALSE,FALSE,FALSE,FALSE,FALSE,Installment,payment_product.json,99,99999,-14,7 days,2 days,0,300000,100000,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,6,100000,100000,50000,50000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1541 - Get Charges and Initial Cents and interest Line items on Revolving ,2,TRUE,FALSE,FALSE,FALSE,FALSE,Revolving,product_revolving.json,99,99999,-14,7 days,2 days,0,300000,100000,0,0,0,0,0,3,999999,PERCENT_INTEREST,10,100,0,0,0,30000,6,100000,100000,30000,30000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1542 - Get Charges and Initial Cents and interest Line items on charge,3,TRUE,FALSE,FALSE,FALSE,FALSE,Charge,product_charge.json,99,99999,-14,7 days,2 days,0,300000,100000,0,0,0,0,0,3,99999,PERCENT_PRINCIPAL,0,100,0,0,0,40000,6,100000,100000,40000,40000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1543 - Get Charges and Initial Cents and interest Line items on credit,4,TRUE,FALSE,FALSE,FALSE,FALSE,Credit,product_credit.json,99,99999,-14,7 days,2 days,0,300000,100000,0,0,0,0,0,3,20,PERCENT_PRINCIPAL,3,5,0,0,0,20000,6,100000,100000,20000,20000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1471 - Get Charges and Initial Cents and Payments and interest Line items on Installment,5,TRUE,FALSE,FALSE,TRUE,FALSE,Installment,payment_product.json,99,99999,-14,7 days,2 days,0,300000,100000,0,0,0,0,0,0,0,NONE,0,0,0,120000,0,50000,6,100000,100000,50000,50000,-120000,-120000,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1544 - Get  Charges and Initial Cents and Payments and interest Line items on Revolving,6,TRUE,FALSE,FALSE,TRUE,FALSE,Revolving,product_revolving.json,99,99999,-14,7 days,2 days,0,300000,100000,0,0,0,0,0,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,6,100000,100000,30000,30000,-100000,-100000,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1545 - Get Charges and Initial Cents and Payments and interest Line items on charge,7,TRUE,FALSE,FALSE,TRUE,FALSE,Charge,product_charge.json,99,99999,-14,7 days,2 days,0,300000,100000,0,0,0,0,0,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,6,100000,100000,40000,40000,-100000,-100000,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1546 - Get Charges and Initial Cents and Payments and interest Line items  on credit ,8,TRUE,FALSE,FALSE,TRUE,FALSE,Credit,product_credit.json,99,99999,-14,7 days,2 days,0,300000,100000,0,0,0,0,0,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,6,100000,100000,20000,20000,-120000,-120000,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1472 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Installment ,9,TRUE,FALSE,FALSE,TRUE,FALSE,Installment,payment_product.json,99,99999,-14,7 days,2 days,0,300000,100000,20000,0,0,0,0,0,0,NONE,0,0,0,120000,0,50000,6,100000,100000,50000,50000,-120000,-120000,0,20000,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1547 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Revolving,10,TRUE,FALSE,FALSE,TRUE,FALSE,Revolving,product_revolving.json,99,99999,-14,7 days,2 days,0,300000,100000,20000,0,0,0,0,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,6,100000,100000,30000,30000,-100000,-100000,0,20000,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1548 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on charge,11,TRUE,FALSE,FALSE,TRUE,FALSE,Charge,product_charge.json,99,99999,-14,7 days,2 days,0,300000,100000,20000,0,0,0,0,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,6,100000,100000,40000,40000,-100000,-100000,0,20000,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1549 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on credit,12,TRUE,FALSE,FALSE,TRUE,FALSE,Credit,product_credit.json,99,99999,-14,7 days,2 days,0,300000,100000,20000,0,0,0,0,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,6,100000,100000,20000,20000,-120000,-120000,0,20000,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,13,TRUE,FALSE,FALSE,TRUE,FALSE,Installment,payment_product.json,99,99999,-30,14 days,2 days,0,300000,100000,20000,0,0,5800,0,0,0,NONE,0,0,0,120000,0,50000,15,100000,100000,50000,50000,-120000,-120000,0,20000,0,13,5800,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1550 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Revolving ,14,TRUE,FALSE,FALSE,TRUE,FALSE,Revolving,product_revolving.json,99,99999,-30,14 days,2 days,0,300000,100000,20000,0,0,5800,0,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,15,100000,100000,30000,30000,-100000,-100000,0,20000,0,13,5800,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1551 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on charge,15,TRUE,FALSE,FALSE,TRUE,FALSE,Charge,product_charge.json,99,99999,-30,14 days,2 days,0,300000,100000,20000,0,0,5800,0,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,15,100000,100000,40000,40000,-100000,-100000,0,20000,0,13,5800,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1552 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on credit,16,TRUE,FALSE,FALSE,TRUE,FALSE,Credit,product_credit.json,99,99999,-30,14 days,2 days,0,300000,100000,20000,0,0,5800,0,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,15,100000,100000,20000,20000,-120000,-120000,0,20000,0,13,5800,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,17,TRUE,FALSE,FALSE,TRUE,FALSE,Installment,payment_product.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,0,0,NONE,0,0,0,120000,0,50000,15,100000,100000,50000,50000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,,,,,,,,,,,,,,,,,0,0,0,0,0
