tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,exp_original_amount_cents,exp_balance_cents,exp_principal_cents
PP1470 - Get Charges and Initial Cents and interest Line items on Installment,1,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0
PP1470 - Get Charges and Initial Cents and interest Line items on Installment,2,validation,,,2021-11-07T,,LOAN,100000,100000,100000
PP1541 - Get Charges and Initial Cents and interest Line items on Revolving ,3,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1541 - Get Charges and Initial Cents and interest Line items on Revolving ,4,charge,,2021-11-10T11:15:03-05:00,,30000,,,,
PP1541 - Get Charges and Initial Cents and interest Line items on Revolving ,5,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,30000,30000,30000
PP1542 - Get Charges and Initial Cents and interest Line items on charge,6,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1542 - Get Charges and Initial Cents and interest Line items on charge,7,charge,,2021-11-10T11:15:03-05:00,,4000,,,,
PP1542 - Get Charges and Initial Cents and interest Line items on charge,8,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,4000,4000,4000
PP1543 - Get Charges and Initial Cents and interest Line items on credit,9,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1543 - Get Charges and Initial Cents and interest Line items on credit,10,charge,,2021-11-10T11:15:03-05:00,,2000,,,,
PP1543 - Get Charges and Initial Cents and interest Line items on credit,11,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,2000,2000,2000
PP1471 - Get Charges and Initial Cents and Payments and interest Line items on Installment,12,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0
PP1471 - Get Charges and Initial Cents and Payments and interest Line items on Installment,13,validation,,,2021-11-07T,,LOAN,100000,100000,100000
PP1471 - Get Charges and Initial Cents and Payments and interest Line items on Installment,14,charge,,2021-11-10T11:15:03-05:00,,50000,,,,
PP1471 - Get Charges and Initial Cents and Payments and interest Line items on Installment,15,validation,2021-11-11T11:15:03-05:00,,2021-11-10T,,CHARGE,50000,50000,50000
PP1471 - Get Charges and Initial Cents and Payments and interest Line items on Installment,16,payment,,2021-11-12T11:15:03-05:00,,120000,,,,
PP1471 - Get Charges and Initial Cents and Payments and interest Line items on Installment,17,validation,2021-11-13T11:15:03-05:00,,2021-11-12T,,PAYMENT,-120000,0,0
PP1544 - Get  Charges and Initial Cents and Payments and interest Line items on Revolving,18,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1544 - Get  Charges and Initial Cents and Payments and interest Line items on Revolving,19,charge,,2021-11-10T11:15:03-05:00,,30000,,,,
PP1544 - Get  Charges and Initial Cents and Payments and interest Line items on Revolving,20,validation,2021-11-11T11:15:03-05:00,,2021-11-10T,,CHARGE,30000,30000,30000
PP1544 - Get  Charges and Initial Cents and Payments and interest Line items on Revolving,21,payment,,2021-11-12T11:15:03-05:00,,100000,,,,
