tc_name,index,product_type,exp_product_file_name,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,account_effective_dt,delinquent,charge_off,cycle_interval,cycle_due_interval,credit_limit_cents,initial_principal_cents,origination_fee_cents,late_fee_cents,payment_reversal_fee_cents,monthly_fee_cents,annual_fee_cents
PP1483-Get Charge and Charge return Line items for a specific account on Revolving account,1,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,0,0,0,0,0
PP1945-Get Charge and Charge return Line items for a specific account on Installment account,2,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,0,0,0,0,0
PP1946-Get Charge and Charge return Line items for a specific account on charge account,3,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,0,0,0,0,0
PP1947-Get Charge and Charge return Line items for a specific account on credit account,4,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,0,0,0,0,0
PP1484-Get Payment and Payment reversal Line items for a specific account on Revolving account ,5,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,0,0,0,0,0
PP1948-Get Payment and Payment reversal Line items for a specific account on Installment account ,6,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,0,0,0,0,0
PP1949-Get Payment and Payment reversal Line items for a specific account on Charge account ,7,Charge,product_charge.json,0,99999,PERCENT_PRINCIPAL,0,100,-20,99,99999,7 days,2 days,300000,100000,0,0,0,0,0
PP1950-Get Payment and Payment reversal Line items for a specific account on Credit account ,8,Credit,product_credit.json,0,20,PERCENT_PRINCIPAL,3,5,-20,99,99999,7 days,2 days,300000,100000,0,0,0,0,0
PP1482-Get multiple Line items for a specific account on Revolving product,9,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,20000,0,0,0,0
PP1951-Get multiple Line items for a specific account on Installment product,10,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,20000,0,0,0,0
PP1952-Get multiple Line items for a specific account on Charge product,11,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,20000,0,0,0,0
PP1953-Get multiple Line items for a specific account on Credit product,12,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,300000,100000,20000,0,0,0,0
