tc_name,index,type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,exp_original_amount_cents,exp_balance_cents,exp_principal_cents,exp_interest_balance_cents,exp_deferred_interest_balance_cents,exp_am_deferred_interest_balance_cents,exp_am_interest_balance_cents,exp_total_interest_paid_to_date_cents,exp_description
PP1483-Get Charge and Charge return Line items for a specific account on Revolving account,1,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents
PP1483-Get Charge and Charge return Line items for a specific account on Revolving account,2,charge,,2021-11-10T11:15:03-05:00,,2000,,,,,,,,,,
PP1483-Get Charge and Charge return Line items for a specific account on Revolving account,3,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents
PP1483-Get Charge and Charge return Line items for a specific account on Revolving account,4,debitoffset,,2021-11-12T11:15:03-05:00,,20,,,,,,,,,,
PP1483-Get Charge and Charge return Line items for a specific account on Revolving account,5,validation,2021-11-13T12:16:16-04:00,,2021-11-12T,,DEBIT_OFFSET,-20,0,0,0,0,0,0,0,upd payment principal_cents: -20 + 20
PP1945-Get Charge and Charge return Line items for a specific account on Installment account,6,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents
PP1945-Get Charge and Charge return Line items for a specific account on Installment account,8,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents
PP1945-Get Charge and Charge return Line items for a specific account on Installment account,9,charge,,2021-11-10T11:15:03-05:00,,2000,,,,,,,,,,
PP1945-Get Charge and Charge return Line items for a specific account on Installment account,10,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents
PP1945-Get Charge and Charge return Line items for a specific account on Installment account,11,debitoffset,,2021-11-12T11:15:03-05:00,,20,,,,,,,,,,
