tc_name,index,product_type,exp_product_file_name,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,account_effective_dt,delinquent,charge_off,cycle_interval,cycle_due_interval,exp_account_file_name,credit_limit_cents,initial_principal_cents,origination_fee_cents,late_fee_cents,payment_reversal_fee_cents,monthly_fee_cents,annual_fee_cents
PP1498-Get information on a charge line item for a specific revolving account ,1,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2119-Get information on a charge line item for a specific installment account,2,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2120-Get information on a charge line item for a specific charge account,3,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2121-Get information on a charge line item for a specific credit account,4,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1499-Get information on a charge reversal line item for a specific revolving account,5,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2122-Get information on a charge reversal line item for a specific installment account,6,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2123-Get information on a charge reversal line item for a specific charge account,7,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2124-Get information on a charge reversal line item for a specific credit account,8,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1500-Get information on a payment line item for a specific revolving account,9,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2125-Get information on a payment line item for a specific installment account,10,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2126-Get information on a payment line item for a specific charge account,11,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2127-Get information on a payment line item for a specific credit account,12,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1501-Get information on a payment reversal line item for a specific revolving account,13,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2128-Get information on a payment reversal line item for a specific installment account,14,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2129-Get information on a payment reversal line item for a specific charge account,15,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2130-Get information on a payment reversal line item for a specific credit account,16,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1502-Get information on a origination fee line item for a specific revolving account,17,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,20000,0,0,0,0
PP2131-Get information on a origination fee line item for a specific installment account,18,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,20000,0,0,0,0
PP2132-Get information on a origination fee line item for a specific charge account,19,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,20000,0,0,0,0
PP2133-Get information on a origination fee line item for a specific credit account,20,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,20000,0,0,0,0
PP1503-Get information on a waiver of origination fee line item for a specific revolving account,21,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,20000,0,0,0,0
PP2134-Get information on a waiver of origination fee line item for a specific installment account,22,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,20000,0,0,0,0
PP2135-Get information on a waiver of origination fee line item for a specific charge account,23,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,20000,0,0,0,0
PP2136-Get information on a waiver of origination fee line item for a specific credit account,24,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,20000,0,0,0,0
PP1504-Get information on a annual fee line item for a specific revolving account,25,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2020-11-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,50000
PP2137-Get information on a annual fee line item for a specific installment account,26,Installment,payment_product.json,0,0,NONE,0,0,2020-11-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,50000
PP2138-Get information on a annual fee line item for a specific charge account,27,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2020-11-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,50000
PP2139-Get information on a annual fee line item for a specific credit account,28,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2020-11-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,50000
PP1505-Get information on a annual fee waiver line item for a specific revolving account,29,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2020-11-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,50000
PP2140-Get information on a annual fee waiver line item for a specific installment account,30,Installment,payment_product.json,0,0,NONE,0,0,2020-11-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,50000
PP2141-Get information on a annual fee waiver line item for a specific charge account,31,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2020-11-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,50000
PP2142-Get information on a annual fee waiver line item for a specific credit account,32,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2020-11-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,50000
PP1506-Get information on a monthly fee line item for a specific revolving account,33,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-10-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,3000,0
PP2143-Get information on a monthly fee line item for a specific installment account,34,Installment,payment_product.json,0,0,NONE,0,0,2021-10-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,3000,0
PP2144-Get information on a monthly fee line item for a specific charge account,35,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-10-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,3000,0
PP2145-Get information on a monthly fee line item for a specific credit account,36,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-10-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,3000,0
PP1507-Get information on a monthly fee reversal line item for a specific revolving account,37,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-10-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,3000,0
PP2146-Get information on a monthly fee reversal line item for a specific installment account,38,Installment,payment_product.json,0,0,NONE,0,0,2021-10-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,3000,0
PP2147-Get information on a monthly fee reversal line item for a specific charge account,39,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-10-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,3000,0
PP2148-Get information on a monthly fee reversal line item for a specific credit account,40,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-10-07T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,3000,0
PP1508-Attempt to get surcharge lineitem using revolving product,41,Revolving,product_revolving_surcharge.json,3,999999,PERCENT_INTEREST,10,100,2021-10-15T11:15:03-05:00,99,99999,1 month,-5 days,account_credit.json,300000,100000,0,0,0,0,0
