tc_name,index,type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,exp_original_amount_cents,exp_balance_cents,exp_principal_cents,exp_interest_balance_cents,exp_deferred_interest_balance_cents,exp_am_deferred_interest_balance_cents,exp_am_interest_balance_cents,exp_total_interest_paid_to_date_cents,exp_description,merchant_name,mcc_code,ext_key,ext_value,exp_status
PP1498-Get information on a charge line item for a specific revolving account ,1,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1498-Get information on a charge line item for a specific revolving account ,2,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1498-Get information on a charge line item for a specific revolving account ,3,charge,,2021-11-07T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP1498-Get information on a charge line item for a specific revolving account ,4,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1498-Get information on a charge line item for a specific revolving account ,5,validation,,,2021-11-07T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2119-Get information on a charge line item for a specific installment account,6,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2119-Get information on a charge line item for a specific installment account,7,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2119-Get information on a charge line item for a specific installment account,10,charge,,2021-11-10T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP2119-Get information on a charge line item for a specific installment account,11,getlineitem,,2021-11-10T,,,CHARGE,,,,,,,,,,,,,,
PP2119-Get information on a charge line item for a specific installment account,12,validation,,,2021-11-10T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2119-Get information on a charge line item for a specific installment account,8,getlineitem,30,2021-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2119-Get information on a charge line item for a specific installment account,9,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2120-Get information on a charge line item for a specific charge account,13,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2120-Get information on a charge line item for a specific charge account,14,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2120-Get information on a charge line item for a specific charge account,15,charge,,2021-11-10T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP2120-Get information on a charge line item for a specific charge account,16,getlineitem,,2021-11-10T,,,CHARGE,,,,,,,,,,,,,,
PP2120-Get information on a charge line item for a specific charge account,17,validation,,,2021-11-10T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2121-Get information on a charge line item for a specific credit account,18,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2121-Get information on a charge line item for a specific credit account,19,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2121-Get information on a charge line item for a specific credit account,20,charge,,2021-11-10T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP2121-Get information on a charge line item for a specific credit account,21,getlineitem,,2021-11-10T,,,CHARGE,,,,,,,,,,,,,,
PP2121-Get information on a charge line item for a specific credit account,22,validation,,,2021-11-10T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1499-Get information on a charge reversal line item for a specific revolving account,23,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1499-Get information on a charge reversal line item for a specific revolving account,24,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1499-Get information on a charge reversal line item for a specific revolving account,25,charge,,2021-11-07T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP1499-Get information on a charge reversal line item for a specific revolving account,26,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1499-Get information on a charge reversal line item for a specific revolving account,27,validation,,,2021-11-07T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1499-Get information on a charge reversal line item for a specific revolving account,28,debitoffset,,2021-11-12T11:15:03-05:00,,20,,,,,,,,,,,,,,,
PP1499-Get information on a charge reversal line item for a specific revolving account,29,getlineitem,,2021-11-12T,,,DEBIT_OFFSET,,,,,,,,,,,,,,
PP1499-Get information on a charge reversal line item for a specific revolving account,30,validation,2021-11-13T12:16:16-04:00,,2021-11-12T,,DEBIT_OFFSET,-20,0,0,0,0,0,0,0,upd payment principal_cents: -20 + 20,,,,,VALID
PP2122-Get information on a charge reversal line item for a specific installment account,31,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2122-Get information on a charge reversal line item for a specific installment account,32,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2122-Get information on a charge reversal line item for a specific installment account,35,charge,,2021-11-10T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP2122-Get information on a charge reversal line item for a specific installment account,36,getlineitem,,2021-11-10T,,,CHARGE,,,,,,,,,,,,,,
PP2122-Get information on a charge reversal line item for a specific installment account,37,validation,,,2021-11-10T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2122-Get information on a charge reversal line item for a specific installment account,38,debitoffset,,2021-11-12T11:15:03-05:00,,20,,,,,,,,,,,,,,,
PP2122-Get information on a charge reversal line item for a specific installment account,39,getlineitem,,2021-11-12T,,,DEBIT_OFFSET,,,,,,,,,,,,,,
PP2122-Get information on a charge reversal line item for a specific installment account,40,validation,2021-11-13T12:16:16-04:00,,2021-11-12T,,DEBIT_OFFSET,-20,0,0,0,0,0,0,0,upd payment principal_cents: -20 + 20,,,,,VALID
PP2122-Get information on a charge reversal line item for a specific installment account,33,getlineitem,30,2021-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2122-Get information on a charge reversal line item for a specific installment account,34,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2123-Get information on a charge reversal line item for a specific charge account,41,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2123-Get information on a charge reversal line item for a specific charge account,42,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2123-Get information on a charge reversal line item for a specific charge account,43,charge,,2021-11-07T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP2123-Get information on a charge reversal line item for a specific charge account,44,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2123-Get information on a charge reversal line item for a specific charge account,45,validation,,,2021-11-07T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2123-Get information on a charge reversal line item for a specific charge account,46,debitoffset,,2021-11-12T11:15:03-05:00,,20,,,,,,,,,,,,,,,
PP2123-Get information on a charge reversal line item for a specific charge account,47,getlineitem,,2021-11-12T,,,DEBIT_OFFSET,,,,,,,,,,,,,,
PP2123-Get information on a charge reversal line item for a specific charge account,48,validation,2021-11-13T12:16:16-04:00,,2021-11-12T,,DEBIT_OFFSET,-20,0,0,0,0,0,0,0,upd payment principal_cents: -20 + 20,,,,,VALID
PP2124-Get information on a charge reversal line item for a specific credit account,49,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2124-Get information on a charge reversal line item for a specific credit account,50,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2124-Get information on a charge reversal line item for a specific credit account,51,charge,,2021-11-07T11:15:03-05:00,,2000,,,,,,,,,,,,,,,
PP2124-Get information on a charge reversal line item for a specific credit account,52,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2124-Get information on a charge reversal line item for a specific credit account,53,validation,,,2021-11-07T,,CHARGE,2000,2000,2000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2124-Get information on a charge reversal line item for a specific credit account,54,debitoffset,,2021-11-12T11:15:03-05:00,,20,,,,,,,,,,,,,,,
PP2124-Get information on a charge reversal line item for a specific credit account,55,getlineitem,,2021-11-12T,,,DEBIT_OFFSET,,,,,,,,,,,,,,
PP2124-Get information on a charge reversal line item for a specific credit account,56,validation,2021-11-13T12:16:16-04:00,,2021-11-12T,,DEBIT_OFFSET,-20,0,0,0,0,0,0,0,upd payment principal_cents: -20 + 20,,,,,VALID
PP1500-Get information on a payment line item for a specific revolving account,57,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1500-Get information on a payment line item for a specific revolving account,58,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1500-Get information on a payment line item for a specific revolving account,59,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP1500-Get information on a payment line item for a specific revolving account,60,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP1500-Get information on a payment line item for a specific revolving account,61,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2125-Get information on a payment line item for a specific installment account,62,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2125-Get information on a payment line item for a specific installment account,63,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2125-Get information on a payment line item for a specific installment account,66,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
