tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,allocation,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance,available_credit_cents,deferred_interest_balance_cents
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,1,charge,,-4,,50000,,,,,,,,,,,
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,2,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,3,charge,,-4,,20000,,,,,,,,,,,
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,4,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,5,rollTimeForward,6,,,,,,,,,,,,,,
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,6,validateAccountSummary,,,,,,,,,20000,0,0,170000,190000,,0
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,7,creditOffset,,0,,2000,,delete,,,,,,,,,
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,8,validateLineItem,,,,-2000,CREDIT_OFFSET,,,,,,,,,,
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,9,rollTimeForward,12,,,,,,,,,,,,,,
PP2620 - Verify the processing of Credit offset for Principal balance bucket in an Installment account,10,validateAccountSummary,,,,,,,,,20000,0,0,172000,192000,,0
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,11,charge,,-4,,50000,,,,,,,,,,,
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,12,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,13,charge,,-4,,20000,,,,,,,,,,,
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,14,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,15,rollTimeForward,6,,,,,,,,,,,,,,
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,16,validateAccountSummary,,,,,,,,,20000,0,0,170000,190000,,0
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,17,creditOffset,,0,,1000,,FEE,,,,,,,,,
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,18,validateLineItem,,,,-1000,CREDIT_OFFSET_FEE,,,,,,,,,,
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,19,rollTimeForward,12,,,,,,,,,,,,,,
PP2621 - Verify the processing of Credit offset for fee balance bucket in an Installment account,20,validateAccountSummary,,,,,,,,,21000,0,0,170000,191000,,0
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,21,charge,,-4,,50000,,,,,,,,,,,
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,22,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,23,charge,,-4,,20000,,,,,,,,,,,
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,24,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,25,rollTimeForward,6,,,,,,,,,,,,,,
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,26,validateAccountSummary,,,,,,,,,20000,0,0,170000,190000,,0
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,27,debitOffset,,0,,3000,,PRINCIPAL,,,,,,,,,
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,28,validateLineItem,,,,3000,DEBIT_OFFSET,,,,,,,,,,
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,29,rollTimeForward,12,,,,,,,,,,,,,,
PP2621 - Verify the processing of Debit offset for principal balance bucket in a Revolving account,30,validateAccountSummary,,,,,,,,,20000,0,0,167000,187000,,0
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,31,charge,,-4,,50000,,,,,,,,,,,
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,32,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,33,charge,,-4,,20000,,,,,,,,,,,
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,34,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,35,rollTimeForward,6,,,,,,,,,,,,,,
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,36,validateAccountSummary,,,,,,,,,20000,0,0,170000,190000,,0
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,37,debitOffset,,0,,1550,,FEE,,,,,,,,,
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,38,validateLineItem,,,,1550,DEBIT_OFFSET,,,,,,,,,,
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,39,rollTimeForward,12,,,,,,,,,,,,,,
