tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance,available_credit_cents
PP114 - Payment Reversals in account without any fees outstanding,1,payment,,-3,,120000,,,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,2,validateLineItem,,,,120000,PAYMENT,,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,3,rollTimeForward,2,,,,,,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,4,getStatementID,,,,,,0,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,5,validateStatement,,,,,,,installment,0,0,0,0,0,300000
PP114 - Payment Reversals in account without any fees outstanding,6,validateAccountSummary,,,,,,,,0,0,0,0,0,
PP114 - Payment Reversals in account without any fees outstanding,7,paymentReversal,0,,,,,,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,8,rollTimeForward,10,,,,,,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,9,validateLineItem,,,,-100000,PAYMENT_REVERSAL,,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,10,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,11,getStatementID,,,,,,1,,,,,,,
PP114 - Payment Reversals in account without any fees outstanding,12,validateStatement,,,,,,,installment,20000,0,0,100000,120000,300000
PP114 - Payment Reversals in account without any fees outstanding,13,validateAccountSummary,,,,,,,,20000,0,0,100000,120000,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,14,payment,,0,,120000,,,,,,,,,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,15,validateLineItem,,,,120000,PAYMENT,,,,,,,,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,16,rollTimeForward,7,,,,,,,,,,,,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,17,getStatementID,,,,,,0,,,,,,,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,18,validateStatement,,,,,,,installment,0,0,,0,0,300000
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,19,validateAccountSummary,,,,,,,,0,0,,0,0,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,20,paymentReversal,0,,,,,,,,,,,,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,21,rollTimeForward,12,,,,,,,,,,,,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,22,validateLineItem,,,,-100000,PAYMENT_REVERSAL,,,,,,,,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,23,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,
