tc_name,index,acc_status,check_credit_offset,check_debit_offset,check_payment,check_payment_reversal,product_type,exp_product_file_name,exp_account_file_name,delinquent,charge_off,account_effective_dt,cycle_interval,cycle_due_interval,account_effective_dt_time,credit_limit_cents,initial_principal_cents,origination_fee_cents,late_fee_cents,payment_reversal_fee_cents,monthly_fee_cents,Annual_fee_cents,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,payment1_effective_date,payment1_amt_cents,payment2_effective_date,payment2_amt_cents,fee_balance,fee_balance_rev,principal_balance,principal_balance_rev,am_int_cents,am_int_cents_rev,int_bal_cents,int_bal_cents_rev,total_balance,total_balance_second,total_balance_rev,available_credit_cents,credit_offset_val,debit_offset_val,principal_after_credit_offset,principal_after_debit_offset,Rolltime_after_first_pay,Rolltime_after_second_pay,stmt_after_first_pay,stmt_after_second_pay,Rolltime_before_reversal,Rolltime_after_reversal,stmt_before_reversal,stmt_after_reversal
PP123 - Payment comes in for an Account already closed,1,CLOSED,FALSE,FALSE,TRUE,FALSE,Installment,payment_product.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,0,2000,0,0,0,0,NONE,0,0,-5,75000,0,15000,0,,0,0,0,0,,,45000 ,30000,0,null,0,0,0,0,2,6,0,1,,,,
PP124  - Payment comes in for a revolving card with zero credit balance,2,ACTIVE,FALSE,FALSE,TRUE,FALSE,Revolving,product_revolving.json,account_charge.json,99,99999,-10,7 days,2 days,0,0,100000,20000,0,2000,0,0,0,999999,PERCENT_INTEREST,10,100,-5,123500,0,NULL,0,,0,0,,,0,0,-3500,0,0,0,0,0,0,0,2,6,1,,,,,
PP1531 - Payment comes in for a charge card with zero credit balance,3,ACTIVE,FALSE,FALSE,TRUE,FALSE,charge,product_charge.json,account_charge.json,99,99999,-10,7 days,2 days,0,0,100000,20000,0,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,100,-5,123500,0,NULL,0,,0,0,,,0,0,-3500,0,0,0,0,0,0,0,2,6,0,,,,,
PP1532 - Payment comes in for a credit card with zero credit balance,4,ACTIVE,FALSE,FALSE,TRUE,FALSE,credit,product_credit.json,account_charge.json,99,99999,-10,7 days,2 days,0,0,100000,20000,3500,2000,0,0,0,20,PERCENT_PRINCIPAL,3,5,-5,123500,0,NULL,0,,0,0,,,0,0,-3500,0,0,0,0,0,0,0,2,6,1,,,,,
PP1533 - Payment comes in for a Installment with zero credit balance,5,ACTIVE,FALSE,FALSE,TRUE,FALSE,Installment,payment_product.json,account_charge.json,99,99999,-10,7 days,2 days,0,0,100000,20000,3500,2000,0,0,0,0,NONE,0,0,-5,123500,0,NULL,0,,0,0,0,0,,,-3500,0,0,0,0,0,0,0,2,6,0,,,,,
PP128 - Payments beyond current day cut off time in a revolving product,6,ACTIVE,FALSE,FALSE,TRUE,FALSE,Revolving,product_revolving.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,999999,PERCENT_INTEREST,10,100,-6,123500,0,NULL,0,,0,0,,,0,0,-3500,0,0,300000,0,0,0,0,2,6,1,,,,,
PP1534 - Payments beyond current day cut off time in a charge card,7,ACTIVE,FALSE,FALSE,TRUE,FALSE,charge,product_charge.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,100,-6,123500,0,NULL,0,,0,0,,,0,0,-3500,0,0,300000,0,0,0,0,2,6,0,,,,,
PP1535 - Payments beyond current day cut off time in a credit card,8,ACTIVE,FALSE,FALSE,TRUE,FALSE,credit,product_credit.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,20,PERCENT_PRINCIPAL,3,5,-6,123500,0,NULL,0,,0,0,,,0,0,-3500,0,0,300000,0,0,0,0,2,6,1,,,,,
PP1536 - Payments beyond current day cut off time in a installment product,9,ACTIVE,FALSE,FALSE,TRUE,FALSE,Installment,payment_product.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,0,NONE,0,0,-6,123500,0,NULL,0,,0,0,0,0,,,-3500,0,0,300000,0,0,0,0,2,6,0,,,,,
PP134 - Credit offset for a specific  Installment account,10,ACTIVE,TRUE,FALSE,FALSE,FALSE,Installment,payment_product.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,0,NONE,0,0,-5,150000,0,NULL,0,,0,0,0,0,,,0,0,0,300000,278,0,120278,0,2,6,0,1,,,,
PP135 - Credit offset for a specific revolving account,11,ACTIVE,TRUE,FALSE,FALSE,FALSE,Revolving,product_revolving.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,999999,PERCENT_INTEREST,10,100,-3,123500,0,NULL,0,,0,0,,,0,0,0,0,0,300000,278,0,120278,0,2,6,0,1,,,,
PP1537 - Credit offset for a specific charge account,12,ACTIVE,TRUE,FALSE,FALSE,FALSE,charge,product_charge.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,100,-3,123500,0,NULL,0,,0,0,,,0,0,0,0,0,300000,278,0,120278,0,2,6,0,1,,,,
PP1538 - Credit offset for a specific credit account,13,ACTIVE,TRUE,FALSE,FALSE,FALSE,credit,product_credit.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,20,PERCENT_PRINCIPAL,3,5,-3,123500,0,NULL,0,,0,0,,,0,0,0,0,0,300000,278,0,120278,0,2,6,0,1,,,,
PP136 - Debit offset for specific  Installment account,14,ACTIVE,FALSE,TRUE,FALSE,FALSE,Installment,payment_product.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,0,NONE,0,0,-5,150000,0,NULL,0,,0,0,0,0,,,0,0,0,300000,0,-20,0,119980,2,6,0,1,,,,
PP137 - Debit offset for a specific revolving account,15,ACTIVE,FALSE,TRUE,FALSE,FALSE,Revolving,product_revolving.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,999999,PERCENT_INTEREST,10,100,-3,123500,0,NULL,0,,0,0,,,0,0,0,0,0,300000,0,-20,0,119980,2,6,0,1,,,,
PP1539 - Debit offset for a specific charge account,16,ACTIVE,FALSE,TRUE,FALSE,FALSE,charge,product_charge.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,100,-3,123500,0,NULL,0,,0,0,,,0,0,0,0,0,300000,0,-20,0,119980,2,6,0,1,,,,
PP1540 - Debit offset for a specific credit account,17,ACTIVE,FALSE,TRUE,FALSE,FALSE,credit,product_credit.json,account_charge.json,99,99999,-10,7 days,2 days,0,300000,100000,20000,3500,2000,0,0,0,20,PERCENT_PRINCIPAL,3,5,-3,123500,0,NULL,0,,0,0,,,0,0,0,0,0,300000,0,-20,0,119980,2,6,0,1,,,,
