tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance
PP146 - PaymentPouring in Installment loan,1,payment,,2022-02-12T08:49:48+00:00,,33500,,,,,,,,
PP146 - PaymentPouring in Installment loan,2,validateLineItem,,,,33500,PAYMENT,,,,,,,
PP146 - PaymentPouring in Installment loan,3,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP146 - PaymentPouring in Installment loan,4,getStatementID,,,,,,1,,,,,,
PP146 - PaymentPouring in Installment loan,5,validateStatement,,,,,,,installment,0,68,0,90076,90144
PP147 - PaymentPouring in Credit card,6,payment,,2022-02-12T08:49:48+00:00,,33500,,,,,,,,
PP147 - PaymentPouring in Credit card,7,validateLineItem,,,,33500,PAYMENT,,,,,,,
PP147 - PaymentPouring in Credit card,8,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP147 - PaymentPouring in Credit card,9,getStatementID,,,,,,1,,,,,,
PP147 - PaymentPouring in Credit card,10,validateStatement,,,,,,,credit,0,0,51,90057,90108
PP148 - PaymentPouring in Revolving LOC,11,payment,,2022-02-12T08:49:48+00:00,,33500,,,,,,,,
PP148 - PaymentPouring in Revolving LOC,12,validateLineItem,,,,33500,PAYMENT,,,,,,,
PP148 - PaymentPouring in Revolving LOC,13,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP148 - PaymentPouring in Revolving LOC,14,getStatementID,,,,,,1,,,,,,
PP148 - PaymentPouring in Revolving LOC,15,validateStatement,,,,,,,revolving,0,0,51,90057,90108
PP149 - PaymentPouring in Credit card,16,payment,,2022-02-12T08:49:48+00:00,,10000,,,,,,,,
PP149 - PaymentPouring in Credit card,17,validateLineItem,,,,10000,PAYMENT,,,,,,,
PP149 - PaymentPouring in Credit card,18,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP149 - PaymentPouring in Credit card,19,getStatementID,,,,,,1,,,,,,
PP149 - PaymentPouring in Credit card,20,validateStatement,,,,,,,credit,0,0,51,90057,90108
PP150 - PaymentPouring Charge Card,21,payment,,2022-02-12T08:49:48+00:00,,120000,,,,,,,,
PP150 - PaymentPouring Charge Card,22,validateLineItem,,,,120000,PAYMENT,,,,,,,
PP150 - PaymentPouring Charge Card,23,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP150 - PaymentPouring Charge Card,24,getStatementID,,,,,,1,,,,,,
PP150 - PaymentPouring Charge Card,25,validateStatement,,,,,,,credit,0,0,0,57,57
PP146A - PaymentPouring in Installment loan,26,payment,,2022-02-12T08:49:48+00:00,,10000,,,,,,,,
PP146A - PaymentPouring in Installment loan,27,validateLineItem,,,,10000,PAYMENT,,,,,,,
PP146A - PaymentPouring in Installment loan,28,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP146A - PaymentPouring in Installment loan,29,getStatementID,,,,,,1,,,,,,
PP146A - PaymentPouring in Installment loan,30,validateStatement,,,,,,,installment,13500,152,0,100000,113652
PP159 - PaymentPouring in CreditCard,31,payment,,2022-02-12T08:49:48+00:00,,10000,,,,,,,,
PP159 - PaymentPouring in CreditCard,32,validateLineItem,,,,10000,PAYMENT,,,,,,,
PP159 - PaymentPouring in CreditCard,33,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP159 - PaymentPouring in CreditCard,34,getStatementID,,,,,,1,,,,,,
PP159 - PaymentPouring in CreditCard,35,validateStatement,,,,,,,credit,0,0,51,90057,90108
PP159A - PaymentPouring in CreditCard,36,payment,,2022-02-12T08:49:48+00:00,,110000,,,,,,,,
PP159A - PaymentPouring in CreditCard,37,validateLineItem,,,,110000,PAYMENT,,,,,,,
PP159A - PaymentPouring in CreditCard,38,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP159A - PaymentPouring in CreditCard,39,getStatementID,,,,,,1,,,,,,
PP159A - PaymentPouring in CreditCard,40,validateStatement,,,,,,,credit,0,0,0,0,-9943
PP160 - PaymentPouring in Charge Card,41,payment,,2022-02-12T08:49:48+00:00,,120057,,,,,,,,
PP160 - PaymentPouring in Charge Card,42,validateLineItem,,,,120057,PAYMENT,,,,,,,
PP160 - PaymentPouring in Charge Card,43,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP160 - PaymentPouring in Charge Card,44,getStatementID,,,,,,1,,,,,,
PP160 - PaymentPouring in Charge Card,45,validateStatement,,,,,,,Charge,0,0,0,0,0
PP1155 - PaymentPouring in Installment loan with 14D cycle interval,46,payment,,2022-02-10T08:49:48+00:00,,50500,,,,,,,,
PP1155 - PaymentPouring in Installment loan with 14D cycle interval,47,validateLineItem,,,,50500,PAYMENT,,,,,,,
PP1155 - PaymentPouring in Installment loan with 14D cycle interval,48,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1155 - PaymentPouring in Installment loan with 14D cycle interval,49,getStatementID,,,,,,1,,,,,,
PP1155 - PaymentPouring in Installment loan with 14D cycle interval,50,validateStatement,,,,,,,installment,11300,1530,0,500000,512830
PP1156 - PaymentPouring in Installment loan with 14D cycle interval,51,payment,,2022-02-10T08:49:48+00:00,,12500,,,,,,,,
PP1156 - PaymentPouring in Installment loan with 14D cycle interval,52,validateLineItem,,,,12500,PAYMENT,,,,,,,
PP1156 - PaymentPouring in Installment loan with 14D cycle interval,53,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1156 - PaymentPouring in Installment loan with 14D cycle interval,54,getStatementID,,,,,,1,,,,,,
PP1156 - PaymentPouring in Installment loan with 14D cycle interval,55,validateStatement,,,,,,,installment,0,830,0,500000,500830
PP1157 - PaymentPouring in Credit/Revolving with 14D cycle interval,56,payment,,2022-02-10T08:49:48+00:00,,26500,,,,,,,,
PP1157 - PaymentPouring in Credit/Revolving with 14D cycle interval,57,validateLineItem,,,,26500,PAYMENT,,,,,,,
PP1157 - PaymentPouring in Credit/Revolving with 14D cycle interval,58,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1157 - PaymentPouring in Credit/Revolving with 14D cycle interval,59,getStatementID,,,,,,1,,,,,,
PP1157 - PaymentPouring in Credit/Revolving with 14D cycle interval,60,validateStatement,,,,,,,credit,0,0,650,500000,500650
PP1158 - PaymentPouring in Revolving with 14D cycle interval,61,payment,,2022-02-10T08:49:48+00:00,,53200,,,,,,,,
PP1158 - PaymentPouring in Revolving with 14D cycle interval,62,validateLineItem,,,,53200,PAYMENT,,,,,,,
PP1158 - PaymentPouring in Revolving with 14D cycle interval,63,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1158 - PaymentPouring in Revolving with 14D cycle interval,64,getStatementID,,,,,,1,,,,,,
PP1158 - PaymentPouring in Revolving with 14D cycle interval,65,validateStatement,,,,,,,credit,0,0,567,493375,493942
PP1159 - PaymentPouring in charge with 14D cycle interval,66,payment,,2022-02-10T08:49:48+00:00,,22900,,,,,,,,
PP1159 - PaymentPouring in charge with 14D cycle interval,67,validateLineItem,,,,22900,PAYMENT,,,,,,,
PP1159 - PaymentPouring in charge with 14D cycle interval,68,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1159 - PaymentPouring in charge with 14D cycle interval,69,getStatementID,,,,,,1,,,,,,
PP1159 - PaymentPouring in charge with 14D cycle interval,70,validateStatement,,,,,,,charge,3100,0,1150,500000,504250
PP1160 - PaymentPouring in installment with 30D cycle interval,71,payment,,2022-02-08T08:49:48+00:00,,28100,,,,,,,,
PP1160 - PaymentPouring in installment with 30D cycle interval,72,validateLineItem,,,,28100,PAYMENT,,,,,,,
PP1160 - PaymentPouring in installment with 30D cycle interval,73,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1160 - PaymentPouring in installment with 30D cycle interval,74,getStatementID,,,,,,1,,,,,,
PP1160 - PaymentPouring in installment with 30D cycle interval,75,validateStatement,,,,,,,installment,11700,1994,0,300000,313694
PP1161 - PaymentPouring in Revolving with 30D cycle interval,76,payment,,2022-02-08T08:49:48+00:00,,33100,,,,,,,,
PP1161 - PaymentPouring in Revolving with 30D cycle interval,77,validateLineItem,,,,33100,PAYMENT,,,,,,,
PP1161 - PaymentPouring in Revolving with 30D cycle interval,78,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1161 - PaymentPouring in Revolving with 30D cycle interval,79,getStatementID,,,,,,1,,,,,,
PP1161 - PaymentPouring in Revolving with 30D cycle interval,80,validateStatement,,,,,,,revolving,5900,0,1500,300000,307400
PP1162 - PaymentPouring in Charge with 30D cycle interval,81,payment,,2022-02-08T08:49:48+00:00,,12500,,,,,,,,
PP1162 - PaymentPouring in Charge with 30D cycle interval,82,validateLineItem,,,,12500,PAYMENT,,,,,,,
PP1162 - PaymentPouring in Charge with 30D cycle interval,83,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1162 - PaymentPouring in Charge with 30D cycle interval,84,getStatementID,,,,,,1,,,,,,
PP1162 - PaymentPouring in Charge with 30D cycle interval,85,validateStatement,,,,,,,Charge,26500,0,1500,300000,328000
PP1163 - PaymentPouring in Installment from the Account Effective date,86,payment,,2022-01-26T08:49:48+00:00,,146000,,,,,,,,
PP1163 - PaymentPouring in Installment from the Account Effective date,87,validateLineItem,,,,146000,PAYMENT,,,,,,,
PP1163 - PaymentPouring in Installment from the Account Effective date,88,rollTimeForward,2022-02-05T08:49:48+00:00,,,,,,,,,,,
PP1163 - PaymentPouring in Installment from the Account Effective date,89,getStatementID,,,,,,11,,,,,,
PP1163 - PaymentPouring in Installment from the Account Effective date,90,validateStatement,,,,,,,installment,16900,11964,0,300000,328864
PP1164 - PaymentPouring in Charge from the Account Effective date,91,payment,,2022-01-26T08:49:48+00:00,,146000,,,,,,,,
PP1164 - PaymentPouring in Charge from the Account Effective date,92,validateLineItem,,,,146000,PAYMENT,,,,,,,
PP1164 - PaymentPouring in Charge from the Account Effective date,93,rollTimeForward,2022-02-05T08:49:48+00:00,,,,,,,,,,,
PP1164 - PaymentPouring in Charge from the Account Effective date,94,getStatementID,,,,,,11,,,,,,
PP1164 - PaymentPouring in Charge from the Account Effective date,95,validateStatement,,,,,,,charge,16900,0,9000,300000,325900
PP1350 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,96,payment,,2022-02-12T08:49:48+00:00,,30000,,,,,,,,
PP1350 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,97,validateLineItem,,,,30000,PAYMENT,,,,,,,
PP1350 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,98,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1350 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,99,getStatementID,,,,,,1,,,,,,
PP1350 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,100,validateStatement,,,,,,,installment,0,68,0,90076,90144
PP1351 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,101,payment,,2022-02-12T08:49:48+00:00,,20000,,,,,,,,
PP1351 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,102,validateLineItem,,,,20000,PAYMENT,,,,,,,
