tc_name,index,check_payment_reversal,product_type,account_effective_dt,cycle_interval,cycle_due_interval,account_effective_dt_time,initial_principal_cents,origination_fee_cents,late_fee_cents,payment_reversal_fee_cents,monthly_fee_cents,Annual_fee_cents,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,post_promo_default_interest_rate_percent
PP114 - Payment Reversals in account without any fees outstanding,1,TRUE,payment_product.json,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,0,NONE,0,0,0
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,2,TRUE,payment_product.json,-4,7 days,2 days,0,100000,20000,3500,2000,0,0,0,0,NONE,0,0,0
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,3,TRUE,payment_product.json,-4,7 days,2 days,0,100000,20000,3500,2000,0,0,0,0,NONE,0,0,0
PP117 - Regular Minimum card payments done and Payment reversed subsequently,4,TRUE,product_revolving.json,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,9999,PERCENT_INTEREST,0,10,0
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,5,TRUE,product_revolving.json,-10,7 days,2 days,0,100000,20000,0,2000,0,0,0,9999,PERCENT_INTEREST,0,10,0
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,6,TRUE,product_revolving.json,-467,30 days,5 days,0,100000,20000,3500,2000,1000,4000,0,9999,PERCENT_INTEREST,0,10,0
PP120 - Payment  Reversed on Revolving account with fees,7,TRUE,product_revolving.json,-10,7 days,2 days,0,100000,20000,0,2000,0,0,0,4,PERCENT_INTEREST,0,10,0
PP121 - Full loan amount repayment reversed-Installment loan,8,TRUE,payment_product.json,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,0,NONE,0,0,0
PP122 - Full loan amount repayment reversed using Charge card,9,TRUE,product_charge.json,-4,7 days,2 days,0,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,0,0
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,10,TRUE,product_charge.json,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,0,0
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,11,TRUE,product_charge.json,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,0,0
PP1424 - Full loan amount repayment reversed using Credit card,12,TRUE,product_credit.json,-4,7 days,2 days,0,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,0,0
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,13,TRUE,product_credit.json,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,4,PERCENT_PRINCIPAL,0,0,0
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,14,TRUE,product_credit.json,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,6,PERCENT_PRINCIPAL,0,0,0
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,15,TRUE,product_credit.json,-467,30 days,5 days,0,100000,20000,3500,2000,1000,4000,0,9999,PERCENT_PRINCIPAL,0,10,0
