tc_name,index,account_effective_dt,origination_fee_cents,credit_limit_cents,max_approved_credit_limit_cents,initial_principal_cents,charge_effective_dt,charge_amt_cents,payment_effective_dt,payment_amt_cents,surcharge_amt_cents,surcharge_line_item_display,validation
pp359 - surcharge amount in 10 % slab with charge,1,-31,0,4000000,4000000,0,-20,0,0,0,0,TRUE,only charge amount in included in surcharge calculation
pp360 - surcharge amount in 10 % slab with charge,2,-31,0,4000000,4000000,0,-20,3,0,0,0,TRUE,only charge amount in included in surcharge calculation
pp361 - surcharge amount in 10 % slab with charge,3,-31,0,4000000,4000000,0,-20,10,0,0,1,TRUE,only charge amount in included in surcharge calculation
pp362 - surcharge amount in 10 % slab with charge,4,-31,0,4000000,4000000,0,-20,1000,0,0,100,TRUE,only charge amount in included in surcharge calculation
pp363 - surcharge amount in 10 % slab with charge,5,-31,0,4000000,4000000,0,-20,76890,0,0,7689,TRUE,only charge amount in included in surcharge calculation
pp364 - surcharge amount in 10 % slab with charge,6,-31,0,4000000,4000000,0,-20,1000000,0,0,100000,TRUE,only charge amount in included in surcharge calculation
pp365 - surcharge amount in 10 % slab with charge,7,-31,0,4000000,4000000,0,-20,2523400,0,0,252340,TRUE,only charge amount in included in surcharge calculation
pp366 - surcharge amount in 10 % slab with charge and boundary value,8,-31,0,4000000,4000000,0,-20,4999999,0,0,499999,TRUE,only charge amount in included in surcharge calculation
pp367 - surcharge amount in 10 % slab with charge and boundary value,9,-31,0,4000000,4000000,0,-20,5000000,0,0,400000,TRUE,only charge amount in included in surcharge calculation
pp368 - surcharge amount in 10 % slab with origination fee and charge,10,-31,5000,4000000,4000000,0,-20,0,0,0,0,TRUE,only charge amount in included in surcharge calculation
pp369 - surcharge amount in 10 % slab with origination fee and charge,11,-31,5000,4000000,4000000,0,-20,3,0,0,0,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp370 - surcharge amount in 10 % slab with origination fee and charge,12,-31,5000,4000000,4000000,0,-20,10,0,0,1,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp371 - surcharge amount in 10 % slab with origination fee and charge,13,-31,5000,4000000,4000000,0,-20,1000,0,0,100,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp372 - surcharge amount in 10 % slab with origination fee and charge,14,-31,5000,4000000,4000000,0,-20,76890,0,0,7689,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp374 - surcharge amount in 10 % slab with origination fee and charge,15,-31,5000,4000000,4000000,0,-20,1000000,0,0,100000,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp376 - surcharge amount in 10 % slab with origination fee and charge,16,-31,5000,4000000,4000000,0,-20,2523400,0,0,252340,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp377 - surcharge amount in 10 % slab with origination fee charge and boundary value,17,-31,5000,4000000,4000000,0,-20,4999999,0,0,499999,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp378 - surcharge amount in 10 % slab with origination fee charge and boundary value,18,-31,5000,4000000,4000000,0,-20,5000000,0,0,400000,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp379 - surcharge amount in 10 % slab with origination fee charge and payment,19,-31,5000,4000000,4000000,0,-20,0,-10,5000,0,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp380 - surcharge amount in 10 % slab with origination fee charge and payment,20,-31,5000,4000000,4000000,0,-20,3,-10,5000,0,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp381 - surcharge amount in 10 % slab with origination fee charge and payment,21,-31,5000,4000000,4000000,0,-20,10,-10,5000,1,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp382 - surcharge amount in 10 % slab with origination fee charge and payment,22,-31,5000,4000000,4000000,0,-20,1000,-10,6000,100,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp383 - surcharge amount in 10 % slab with origination fee charge and payment,23,-31,5000,4000000,4000000,0,-20,76890,-10,10000,7689,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp384 - surcharge amount in 10 % slab with origination fee charge and payment,24,-31,5000,4000000,4000000,0,-20,1000000,-10,600000,100000,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp385 - surcharge amount in 10 % slab with origination fee charge and payment,25,-31,5000,4000000,4000000,0,-20,2523400,-10,1000000,252340,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp386 - surcharge amount in 10 % slab with origination fee charge  payment and boundary value,26,-31,5000,4000000,4000000,0,-20,4999999,-10,3000000,499999,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp389 - surcharge amount in 10 % slab with origination fee charge  payment and boundary value,27,-31,5000,4000000,4000000,0,-20,5000000,-10,3000000,400000,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp388 - surcharge amount in 8 % slab with charge and boundary value,28,-31,0,4000000,4000000,0,-20,5000001,0,0,400000,TRUE,only charge amount in included in surcharge calculation
pp389 - surcharge amount in 8 % slab with charge,29,-31,0,4000000,4000000,0,-20,7500000,0,0,600000,TRUE,only charge amount in included in surcharge calculation
pp390 - surcharge amount in 8 % slab with charge,30,-31,0,4000000,4000000,0,-20,9823400,0,0,785872,TRUE,only charge amount in included in surcharge calculation
pp391 - surcharge amount in 8 % slab with charge,31,-31,0,4000000,4000000,0,-20,9999999,0,0,799999,TRUE,only charge amount in included in surcharge calculation
pp392 - surcharge amount in 8 % slab with charge and boundary value,32,-31,0,4000000,4000000,0,-20,10000000,0,0,700000,TRUE,only charge amount in included in surcharge calculation
pp393 - surcharge amount in 8 % slab with origination fee charge and boundary value,33,-31,5000,4000000,4000000,0,-20,5000001,0,0,400000,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp394 - surcharge amount in 8 % slab with origination fee and charge,34,-31,5000,4000000,4000000,0,-20,7500000,0,0,600000,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp395 - surcharge amount in 8 % slab with origination fee and charge,35,-31,5000,4000000,4000000,0,-20,9823400,0,0,785872,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp396 - surcharge amount in 8 % slab with origination fee and charge,36,-31,5000,4000000,4000000,0,-20,9999999,0,0,799999,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp397 - surcharge amount in 8 % slab with origination fee  charge and boundary value,37,-31,5000,4000000,4000000,0,-20,10000000,0,0,700000,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp398 - surcharge amount in 8 % slab with origination fee charge payment and boundary value,38,-31,5000,4000000,4000000,0,-20,5000001,0,400000,400000,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp399 - surcharge amount in 8 % slab with origination fee charge and payment,39,-31,5000,4000000,4000000,0,-20,7500000,0,500000,600000,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp400 - surcharge amount in 8 % slab with origination fee charge and payment,40,-31,5000,4000000,4000000,0,-20,9823400,0,700000,785872,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp401 - surcharge amount in 8 % slab with origination fee charge and payment,41,-31,5000,4000000,4000000,0,-20,9999999,0,600000,799999,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp402 - surcharge amount in 8 % slab with origination fee charge payment and boundary value,42,-31,5000,4000000,4000000,0,-20,10000000,0,564690,700000,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp403 - surcharge amount in 7 % slab with charge and boundary value,43,-31,0,4000000,4000000,0,-20,10000001,0,0,700000,TRUE,only charge amount in included in surcharge calculation
pp404 - surcharge amount in 7 % slab with charge,44,-31,0,4000000,4000000,0,-20,16100000,0,0,1127000,TRUE,only charge amount in included in surcharge calculation
pp405 - surcharge amount in 7 % slab with charge,45,-31,0,4000000,4000000,0,-20,23847645,0,0,1669335,TRUE,only charge amount in included in surcharge calculation
pp406 - surcharge amount in 7 % slab with charge,46,-31,0,4000000,4000000,0,-20,24999999,0,0,1749999,TRUE,only charge amount in included in surcharge calculation
pp407 - boundary value of slab 7% and charge beyond surcharge limit,47,-31,0,4000000,4000000,0,-20,25000000,0,0,0,FALSE,only charge amount in included in surcharge calculation
pp408 - boundary value of slab 7% and charge beyond surcharge limit,48,-31,0,4000000,4000000,0,-20,25000001,0,0,0,FALSE,only charge amount in included in surcharge calculation
pp409 - surcharge amount in 7 % slab with origination fee charge and boundary value,49,-31,5000,4000000,4000000,0,-20,10000001,0,0,700000,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp410 - surcharge amount in 7 % slab with origination fee  and charge,50,-31,5000,4000000,4000000,0,-20,16100000,0,0,1127000,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp411 - surcharge amount in 7 % slab with origination fee  and charge,51,-31,5000,4000000,4000000,0,-20,23847645,0,0,1669335,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp412 - surcharge amount in 7 % slab with origination fee  and charge,52,-31,5000,4000000,4000000,0,-20,24999999,0,0,1749999,TRUE,only charge amount in included in surcharge calculation  origination fee is not included
pp413 - boundary value of slab 7% with orgination fee and charge beyond surcharge limit,53,-31,5000,4000000,4000000,0,-20,25000000,0,0,0,FALSE,only charge amount in included in surcharge calculation  origination fee is not included
pp414 - boundary value of slab 7% with orgination fee and charge beyond surcharge limit,54,-31,5000,4000000,4000000,0,-20,25000001,0,0,0,FALSE,only charge amount in included in surcharge calculation  origination fee is not included
pp415 - surcharge amount in 7 % slab with origination fee charge payment and boundary value,55,-31,5000,4000000,4000000,0,-20,10000001,0,8780000,700000,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
pp416 - surcharge amount in 7 % slab with origination fee charge and payment,56,-31,5000,4000000,4000000,0,-20,16100000,0,9080000,1127000,TRUE,only charge amount in included in surcharge calculation  origination fee and payment are not included
