tc_name,index,promo_len,promo_min_pay_type,promo_min_pay_percent,account_json_file_name,account_effective_at,default_payment_process_method,processor_name
PP903 - ACH - Verify REPAY call for Revolving account in Promotion period where partial principal payments have been set up,1,0,PERCENT_PRINCIPAL,20,account_payment_processor_ach_repay.json,2021-03-20T09:11:28+00:00,ACH,REPAY
PP904 - ACH - Verify REPAY call  for Revolving account in Promotion period where partial principal payments have been set up,2,0,PERCENT_INTEREST,100,account_payment_processor_ach_repay.json,2021-03-20T09:11:28+00:00,ACH,REPAY
PP905 - ACH - Verify REPAY call  for Revolving account in Promotion period where Percent interest payments have been set up,3,0,NONE,0,account_payment_processor_ach_repay.json,2021-03-20T09:11:28+00:00,ACH,REPAY
PP903A - Debit card - Verify REPAY call for Revolving account in Promotion period where partial principal payments have been set up,4,0,PERCENT_PRINCIPAL,20,account_payment_processor_debit_card_repay.json,2021-03-20T09:11:28+00:00,DEBIT_CARD,REPAY
PP904A - Debit card - Verify REPAY call  for Revolving account in Promotion period where partial principal payments have been set up,5,0,PERCENT_INTEREST,100,account_payment_processor_debit_card_repay.json,2021-03-20T09:11:28+00:00,DEBIT_CARD,REPAY
PP905A - Debit card - Verify REPAY call  for Revolving account in Promotion period where Percent interest payments have been set up,6,0,NONE,0,account_payment_processor_debit_card_repay.json,2021-03-20T09:11:28+00:00,DEBIT_CARD,REPAY
PP940 - Dwolla - Verify Dwolla call created for Revolving account in Promotion period where partial principal payments have been set up,7,0,PERCENT_PRINCIPAL,20,account_payment_processor_ach_dwolla.json,2021-03-20T09:11:28+00:00,ACH,DWOLLA
PP941 - Dwolla - Verify Dwolla call created for Revolving account in Promotion period where partial principal payments have been set up,8,0,PERCENT_INTEREST,100,account_payment_processor_ach_dwolla.json,2021-03-20T09:11:28+00:00,ACH,DWOLLA
PP942 - Dwolla - Verify Dwolla call created for Revolving account in Promotion period where Percent interest payments have been set up,9,0,NONE,0,account_payment_processor_ach_dwolla.json,2021-03-20T09:11:28+00:00,ACH,DWOLLA
PP977 - Modern Treasury - Verify Modern Treasury call created for Revolving account in Promotion period where partial principal payments have been set up,10,0,PERCENT_PRINCIPAL,20,account_payment_processor_ach_modern_treasury.json,2021-03-20T09:11:28+00:00,ACH,MODERN_TREASURY
PP978 - Modern Treasury - Verify Modern Treasury call created for Revolving account in Promotion period where partial principal payments have been set up,11,0,PERCENT_INTEREST,100,account_payment_processor_ach_modern_treasury.json,2021-03-20T09:11:28+00:00,ACH,MODERN_TREASURY
PP979 - Modern Treasury - Verify Modern Treasury call created for Revolving account in Promotion period where Percent interest payments have been set up,12,0,NONE,0,account_payment_processor_ach_modern_treasury.json,2021-03-20T09:11:28+00:00,ACH,MODERN_TREASURY
PP1014 - Checkout - Verify Checkout call created for Revolving account in Promotion period where partial principal payments have been set up,13,0,PERCENT_PRINCIPAL,20,account_payment_processor_credit_card_checkout.json,2021-03-20T09:11:28+00:00,CREDIT_CARD,CHECKOUT
PP1015 - Checkout - Verify Checkout call created for Revolving account in Promotion period where partial principal payments have been set up,14,0,PERCENT_INTEREST,100,account_payment_processor_credit_card_checkout.json,2021-03-20T09:11:28+00:00,CREDIT_CARD,CHECKOUT
PP1016 - Checkout - Verify Checkout call created for Revolving account in Promotion period where Percent interest payments have been set up,15,0,NONE,0,account_payment_processor_credit_card_checkout.json,2021-03-20T09:11:28+00:00,CREDIT_CARD,CHECKOUT
