tc_name,index,product_template_name,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,post_promo_impl_interest_rate_percent,post_promo_default_interest_rate_percent,post_promo_len,post_promo_min_pay_type,account_template_name,cycle_interval,cycle_due_interval,initial_principal_cents,credit_limit_cents,account_effective_dt,roll_date,min_pay_due_at,min_pay_cents,exp_status
PP1204-Verify Billing cycle parameters and impact for Multi Advance Installment loans during Promotion period,1,product_multi_adv_installment.json,3,6,PERCENT_PRINCIPAL,8,10,0,10,12,AM,account_late_fee_percent_caps_revolving.json,1 month,2 days,300000,300000,2021-11-15T02:18:27-08:00,2021-12-31T11:15:03-05:00,2021-12-18T,30000,200
PP1205-Verify Billing cycle parameters and impact for Multi Advance Installment loans during Post Promotion period,2,product_multi_adv_installment.json,3,6,PERCENT_PRINCIPAL,8,10,0,10,12,AM,account_late_fee_percent_caps_revolving.json,1 month,2 days,300000,300000,2021-11-15T02:18:27-08:00,2021-12-31T11:15:03-05:01,2021-12-18T,30000,200
PP1206-Verify Billing cycle parameters and impact for Revolving LOC loans,3,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,0,,,,account_late_fee_percent_caps_revolving.json,1 month,2 days,30000000,30000000,2021-11-15T02:18:27-08:00,2022-01-15T11:15:03-05:02,2021-12-18T,250000,200
PP1207-Verify Billing cycle parameters and impact for Revolving cards,4,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,0,,,,account_late_fee_percent_caps_revolving.json,1 month,2 days,30000000,30000000,2021-11-15T02:18:27-08:00,2022-01-15T11:15:03-05:02,2021-12-18T,250000,200
PP1206A-Verify Billing cycle parameters and impact for Revolving LOC loans,5,product_revolving.json,3,999999,NONE,10,100,0,,,,account_late_fee_percent_caps_revolving.json,1 month,2 days,30000000,30000000,2021-11-15T02:18:27-08:00,2022-01-15T11:15:03-05:02,2021-12-18T,0,200
PP1208-Verify Billing cycle parameters and impact for Revolving Credit cards,7,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,0,,,,account_late_fee_percent_caps_revolving.json,1 month,2 days,300000,300000,2021-11-15T02:18:27-08:00,2021-12-31T11:15:03-05:04,2021-12-18T,15000,200
PP1209-Verify Billing cycle parameters and impact for Charge cards,8,product_credit.json,3,99999,PERCENT_PRINCIPAL,3,100,0,,,,account_late_fee_percent_caps_revolving.json,1 month,2 days,300000,300000,2021-11-15T02:18:27-08:00,2021-12-31T11:15:03-05:05,2021-12-18T,300000,200
PP1211-Verify Billing cycle parameters and impact for Installment loans - Cycle interval - 14 days Cycle due interval  2 days,9,payment_product.json,0,0,NONE,0,0,0,4,10,AM,account_only_promo.json,14 days,2 days,300000,300000,2021-11-30T12:16:16-05:03,2021-12-31T11:15:03-05:07,2021-12-03T00:00:00-05:02,30253,200
PP1212-Verify Billing cycle parameters and impact for Installment loans - Cycle interval - 30 days Cycle due interval  5 days,10,payment_product.json,0,0,NONE,0,0,0,3.99,10,AM,account_late_fee_percent_caps_revolving.json,30 days,5 days,300000,300000,2021-11-01T02:18:27-08:00,2021-12-07T11:15:03-05:08,2021-12-07T00:00:00-05:03,30414,200
PP1213-Verify Billing cycle parameters and impact for Installment loans - Cycle interval - 1 month  Cycle due interval plus 5 days,11,payment_product.json,0,0,NONE,0,0,0,3.99,10,AM,account_late_fee_percent_caps_revolving.json,1 month,5 days,300000,300000,2021-11-01T02:18:27-08:00,2021-12-07T11:15:03-05:09,2021-12-07T00:00:00-05:04,30414,200
PP1214-Verify Billing cycle parameters and impact for Installment loans - Cycle interval - 1 month Cycle due interval minus 5 days,12,payment_product.json,0,0,NONE,0,0,0,3.99,10,AM,account_late_fee_percent_caps_revolving.json,1 month,-5 days,300000,300000,2021-11-01T02:18:27-08:00,2021-12-04T11:15:03-05:10,2021-12-28T00:00:00-05:05,30414,200
PP1215-Verify Billing cycle parameters and impact for Installment loans - Cycle interval - 1 month  Cycle due interval plus 0 days,13,payment_product.json,0,0,NONE,0,0,0,3.99,10,AM,account_late_fee_percent_caps_revolving.json,1 month,delete,300000,300000,2021-11-01T02:18:27-08:00,2021-12-04T11:15:03-05:11,2021-12-28T00:00:00-05:05,30414,200
PP1216-Verify Billing cycle parameters and impact for Credit cards - Cycle interval - 1 month Cycle due interval plus 20 days,14,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,0,,,,account_late_fee_percent_caps_revolving.json,1 month,20 days,300000,300000,2021-11-01T02:18:27-08:00,2021-12-31T11:15:03-05:12,2021-12-22T00:00:00-05:07,15000,200
