tc_name,index,cycle_interval,cycle_due_interval,account_effective_dt,origination_fee_cents,initial_principal_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents,stmt1_charge_amount,stmt1_charge_effective_dt,stmt1_charges_principal_cents,stmt1_loans_principal_cents,stmt1_fees_balance_cents,stmt1_total_balance_cents,stmt2_charge_amount,stmt2_charge_effective_dt,stmt2_charge_reversal_cents,stmt2_charge_reversal_effective_dt,payment_amount,payment_effective_dt,stmt2_charges_principal_cents,stmt2_loans_principal_cents,stmt2_fees_balance_cents,stmt2_total_balance_cents
pp718 - Charge reversal - Statements with origination fees - charge - origination fees payment,1,7 days,-2 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,10000,2021-08-04T02:18:27-08:00,10000,100000,5000,115000,50000,2021-08-10T02:18:27-08:00,50000,2021-08-12T02:18:27-08:00,5000,2021-08-13T02:18:27-08:00,10000,100000,0,110000
pp719 - Charge reversal - Statements with origination fees - charge - charge only payment,2,7 days,-2 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,10000,2021-08-04T02:18:27-08:00,10000,100000,5000,115000,50000,2021-08-10T02:18:27-08:00,50000,2021-08-12T02:18:27-08:00,10000,2021-08-13T02:18:27-08:00,5000,100000,0,105000
pp720 - Charge reversal - Statements with origination fees - charge and origination fees payment,3,7 days,-2 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,10000,2021-08-04T02:18:27-08:00,10000,100000,5000,115000,50000,2021-08-10T02:18:27-08:00,50000,2021-08-12T02:18:27-08:00,15000,2021-08-13T02:18:27-08:00,0,100000,0,100000
pp721 - Charge reversal - Statements with origination fees - charge - partial charge and origination fees payment,4,7 days,-2 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,10000,2021-08-04T02:18:27-08:00,10000,100000,5000,115000,50000,2021-08-10T02:18:27-08:00,50000,2021-08-12T02:18:27-08:00,12000,2021-08-13T02:18:27-08:00,0,91000,0,91000
pp722 - Charge reversal - Statements with no origination fees - charge - monthly fees - monthly fees only payment,5,1 month,28 days,2021-03-01T02:18:27-08:00,0,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,3000,78000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,3000,2021-04-10T02:18:27-08:00,2000,70000,3000,75000
pp723 - Charge reversal - Statements with no origination fees - charge - monthly fees - charge only payment,6,1 month,28 days,2021-03-01T02:18:27-08:00,0,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,3000,78000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,5000,2021-04-10T02:18:27-08:00,0,68000,3000,71000
pp724 - Charge reversal - Statements with no origination fees - charge - monthly fees - monthly fees and charge payment,7,1 month,28 days,2021-03-01T02:18:27-08:00,0,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,3000,78000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,8000,2021-04-10T02:18:27-08:00,0,70000,3000,73000
pp725 - Charge reversal - Statements with no origination fees - charge - monthly fees - monthly fees and partial payment,8,1 month,28 days,2021-03-01T02:18:27-08:00,0,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,3000,78000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,48000,2021-04-10T02:18:27-08:00,0,30000,3000,33000
pp726 - Charge reversal - Statements with origination fees - charge - monthly fees - charge only payment,9,1 month,28 days,2021-03-01T02:18:27-08:00,8000,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,11000,86000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,5000,2021-04-10T02:18:27-08:00,5000,70000,9000,84000
pp727 - Charge reversal - Statements with origination fees - charge - monthly fees - monthly fees only payment,10,1 month,28 days,2021-03-01T02:18:27-08:00,8000,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,11000,86000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,3000,2021-04-10T02:18:27-08:00,5000,70000,11000,86000
pp728 - Charge reversal - Statements with origination fees - charge - monthly fees - monthly fees and charge payment,11,1 month,28 days,2021-03-01T02:18:27-08:00,8000,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,11000,86000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,8000,2021-04-10T02:18:27-08:00,5000,70000,6000,81000
pp729 - Charge reversal - Statements with origination fees - charge - monthly fees - all payments,12,1 month,28 days,2021-03-01T02:18:27-08:00,8000,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,11000,86000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,86000,2021-04-10T02:18:27-08:00,0,0,3000,3000
pp730 - Charge reversal - Statements with origination fees - charge - monthly fees - pay fees and partial principal pay,13,1 month,28 days,2021-03-01T02:18:27-08:00,8000,70000,0,3000,0,5000,2021-03-10T02:18:27-08:00,5000,70000,11000,86000,2000,2021-04-08T02:18:27-08:00,2000,2021-04-09T02:18:27-08:00,46000,2021-04-10T02:18:27-08:00,0,40000,3000,43000
pp731 - Charge reversal - Statements with no origination fees - charge - annual fees - annual fees only payment,14,1 month,28 days,2020-12-01T08:20:34-08:00,0,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,1200,114200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,1200,2021-01-20T08:20:34-08:00,13000,100000,0,113000
pp732 - Charge reversal - Statements with no origination fees - charge - annual fees - charge only payment,15,1 month,28 days,2020-12-01T08:20:34-08:00,0,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,1200,114200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,13000,2021-01-20T08:20:34-08:00,1200,100000,0,101200
pp733 - Charge reversal - Statements with no origination fees - charge - annual fees - annual fees and charge payment,16,1 month,28 days,2020-12-01T08:20:34-08:00,0,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,1200,114200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,14200,2021-01-20T08:20:34-08:00,0,100000,0,100000
pp734 - Charge reversal - Statements with no origination fees - charge - annual fees - annual fees and partial payment,17,1 month,28 days,2020-12-01T08:20:34-08:00,0,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,1200,114200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,51200,2021-01-20T08:20:34-08:00,0,63000,0,63000
pp735 - Charge reversal - Statements with origination fees - charge - annual fees - annual fees only payment,18,1 month,28 days,2020-12-01T08:20:34-08:00,10000,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,11200,124200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,1200,2021-01-20T08:20:34-08:00,13000,100000,10000,123000
pp736 - Charge reversal - Statements with origination fees - charge - annual fees - charge only payment,19,1 month,28 days,2020-12-01T08:20:34-08:00,10000,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,11200,124200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,13000,2021-01-20T08:20:34-08:00,11800,100000,0,111800
