tc_name,index,cycle_interval,account_effective_dt,origination_fee_cents,initial_principal_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents,stmt1_charge_amount,stmt1_charge_effective_dt,stmt1_charges_principal_cents,stmt1_loans_principal_cents,stmt1_fees_balance_cents,stmt1_total_balance_cents,stmt2_charge_amount,stmt2_charge_effective_dt,stmt2_charges_principal_cents,stmt2_loans_principal_cents,stmt2_fees_balance_cents,stmt2_total_balance_cents,stmt3_charge_amount,stmt3_charge_effective_dt,stmt3_charges_principal_cents,stmt3_loans_principal_cents,stmt3_fees_balance_cents,stmt3_total_balance_cents,stmt4_charge_amount,stmt4_charge_effective_dt,stmt4_charges_principal_cents,stmt4_loans_principal_cents,stmt4_fees_balance_cents,stmt4_total_balance_cents,stmt5_charge_amount,stmt5_charge_effective_dt,stmt5_charges_principal_cents,stmt5_loans_principal_cents,stmt5_fees_balance_cents,stmt5_total_balance_cents,payment_amount,payment_effective_dt,stmt6_charges_principal_cents,stmt6_loans_principal_cents,stmt6_fees_balance_cents,stmt6_total_balance_cents
pp636 - Charges - Payment at the end of last statement - Statements with origination fees - charge - origination fees payment,1,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,12000,2021-08-04T02:18:27-08:00,12000,100000,5000,117000,10000,2021-08-12T02:18:27-08:00,22000,100000,5000,127000,5000,2021-08-18T02:18:27-08:00,27000,100000,5000,132000,8000,2021-08-25T02:18:27-08:00,35000,100000,5000,140000,4000,2021-09-02T02:18:27-08:00,39000,100000,5000,144000,5000,2021-09-08T02:18:27-08:00,39000,100000,0,139000
pp637 - Charges - Payment at the end of last statement - Statements with origination fees - charge - charge only payment,2,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,12000,2021-08-04T02:18:27-08:00,12000,100000,5000,117000,10000,2021-08-12T02:18:27-08:00,22000,100000,5000,127000,5000,2021-08-18T02:18:27-08:00,27000,100000,5000,132000,8000,2021-08-25T02:18:27-08:00,35000,100000,5000,140000,4000,2021-09-02T02:18:27-08:00,39000,100000,5000,144000,139000,2021-09-08T02:18:27-08:00,0,5000,0,5000
pp638 - Charges - Payment at the end of last statement - Statements with origination fees - charge and origination fees payment,3,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,12000,2021-08-04T02:18:27-08:00,12000,100000,5000,117000,10000,2021-08-12T02:18:27-08:00,22000,100000,5000,127000,5000,2021-08-18T02:18:27-08:00,27000,100000,5000,132000,8000,2021-08-25T02:18:27-08:00,35000,100000,5000,140000,4000,2021-09-02T02:18:27-08:00,39000,100000,5000,144000,144000,2021-09-08T02:18:27-08:00,0,0,0,0
pp639 - Charges - Payment at the end of last statement - Statements with origination fees - charge - partial charge and origination fees payment,4,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,12000,2021-08-04T02:18:27-08:00,12000,100000,5000,117000,10000,2021-08-12T02:18:27-08:00,22000,100000,5000,127000,5000,2021-08-18T02:18:27-08:00,27000,100000,5000,132000,8000,2021-08-25T02:18:27-08:00,35000,100000,5000,140000,4000,2021-09-02T02:18:27-08:00,39000,100000,5000,144000,115000,2021-09-08T02:18:27-08:00,0,29000,0,29000
pp640 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - monthly fees only payment,5,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,500,13500,8000,2021-04-08T02:18:27-08:00,13000,8000,1000,22000,6000,2021-05-14T02:18:27-08:00,19000,8000,1500,28500,4000,2021-06-12T02:18:27-08:00,23000,8000,2000,33000,9000,2021-07-12T02:18:27-08:00,32000,8000,2500,42500,2500,2021-08-04T02:18:27-08:00,32000,8000,500,40500
pp641 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - charge only payment,6,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,500,13500,8000,2021-04-08T02:18:27-08:00,13000,8000,1000,22000,6000,2021-05-14T02:18:27-08:00,19000,8000,1500,28500,4000,2021-06-12T02:18:27-08:00,23000,8000,2000,33000,9000,2021-07-12T02:18:27-08:00,32000,8000,2500,42500,32000,2021-08-04T02:18:27-08:00,2500,8000,500,11000
pp642 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - monthly fees and charge payment,7,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,500,13500,8000,2021-04-08T02:18:27-08:00,13000,8000,1000,22000,6000,2021-05-14T02:18:27-08:00,19000,8000,1500,28500,4000,2021-06-12T02:18:27-08:00,23000,8000,2000,33000,9000,2021-07-12T02:18:27-08:00,32000,8000,2500,42500,34500,2021-08-04T02:18:27-08:00,0,8000,500,8500
pp643 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - monthly fees and partial payment,8,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,500,13500,8000,2021-04-08T02:18:27-08:00,13000,8000,1000,22000,6000,2021-05-14T02:18:27-08:00,19000,8000,1500,28500,4000,2021-06-12T02:18:27-08:00,23000,8000,2000,33000,9000,2021-07-12T02:18:27-08:00,32000,8000,2500,42500,12500,2021-08-04T02:18:27-08:00,22000,8000,500,30500
pp644 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - charge only payment,9,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,6500,19500,8000,2021-04-08T02:18:27-08:00,13000,8000,7000,28000,6000,2021-05-14T02:18:27-08:00,19000,8000,7500,34500,4000,2021-06-12T02:18:27-08:00,23000,8000,8000,39000,9000,2021-07-12T02:18:27-08:00,32000,8000,8500,48500,32000,2021-08-04T02:18:27-08:00,8500,8000,500,17000
pp645 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - monthly fees only payment,10,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,6500,19500,8000,2021-04-08T02:18:27-08:00,13000,8000,7000,28000,6000,2021-05-14T02:18:27-08:00,19000,8000,7500,34500,4000,2021-06-12T02:18:27-08:00,23000,8000,8000,39000,9000,2021-07-12T02:18:27-08:00,32000,8000,8500,48500,2500,2021-08-04T02:18:27-08:00,32000,8000,6500,46500
