tc_name,index,cycle_interval,account_effective_dt,origination_fee_cents,initial_principal_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents,stmt1_charge1_amount,stmt1_charge1_effective_dt,stmt1_charge2_amount,stmt1_charge2_effective_dt,stmt1_charges_principal_cents,stmt1_loans_principal_cents,stmt1_fees_balance_cents,stmt1_total_balance_cents,stmt2_charge1_amount,stmt2_charge1_effective_dt,stmt2_charge2_amount,stmt2_charge2_effective_dt,stmt2_charges_principal_cents,stmt2_loans_principal_cents,stmt2_fees_balance_cents,stmt2_total_balance_cents,stmt3_charge1_amount,stmt3_charge1_effective_dt,stmt3_charge2_amount,stmt3_charge2_effective_dt,stmt3_charges_principal_cents,stmt3_loans_principal_cents,stmt3_fees_balance_cents,stmt3_total_balance_cents,stmt4_charge1_amount,stmt4_charge1_effective_dt,stmt4_charge2_amount,stmt4_charge2_effective_dt,stmt4_charges_principal_cents,stmt4_loans_principal_cents,stmt4_fees_balance_cents,stmt4_total_balance_cents,stmt5_charge1_amount,stmt5_charge1_effective_dt,stmt5_charge2_amount,stmt5_charge2_effective_dt,stmt5_charges_principal_cents,stmt5_loans_principal_cents,stmt5_fees_balance_cents,stmt5_total_balance_cents,payment_amount,payment_effective_dt,stmt6_charges_principal_cents,stmt6_loans_principal_cents,stmt6_fees_balance_cents,stmt6_total_balance_cents
pp677 - Multiple charges through statements and payment at the end of last statement - Statements with  origination fees - charge - origination fees payment,1,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,12000,2021-08-03T02:18:27-08:00,8000,2021-08-05T02:18:27-08:00,20000,100000,5000,125000,10000,2021-08-12T02:18:27-08:00,5000,2021-08-15T02:18:27-08:00,35000,100000,5000,140000,5000,2021-08-18T02:18:27-08:00,5000,2021-08-21T02:18:27-08:00,45000,100000,5000,150000,8000,2021-08-25T02:18:27-08:00,2000,2021-08-24T02:18:27-08:00,55000,100000,5000,160000,4000,2021-09-01T02:18:27-08:00,6000,2021-09-05T02:18:27-08:00,65000,100000,5000,170000,5000,2021-09-08T02:18:27-08:00,65000,100000,0,165000
pp678 - Multiple charges through statements and Multiple charges through statements and payment at the end of last statement - Statements with  origination fees - charge - charge only payment,2,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,12000,2021-08-04T02:18:27-08:00,8000,2021-08-05T02:18:27-08:00,20000,100000,5000,125000,10000,2021-08-12T02:18:27-08:00,5000,2021-08-15T02:18:27-08:00,35000,100000,5000,140000,5000,2021-08-18T02:18:27-08:00,5000,2021-08-21T02:18:27-08:00,45000,100000,5000,150000,8000,2021-08-25T02:18:27-08:00,2000,2021-08-24T02:18:27-08:00,55000,100000,5000,160000,4000,2021-09-02T02:18:27-08:00,6000,2021-09-05T02:18:27-08:00,65000,100000,5000,170000,65000,2021-09-08T02:18:27-08:00,5000,100000,0,105000
pp679 - Multiple charges through statements and payment at the end of last statement - Statements with  origination fees - charge and origination fees payment,3,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,12000,2021-08-04T02:18:27-08:00,8000,2021-08-05T02:18:27-08:00,20000,100000,5000,125000,10000,2021-08-12T02:18:27-08:00,5000,2021-08-15T02:18:27-08:00,35000,100000,5000,140000,5000,2021-08-18T02:18:27-08:00,5000,2021-08-21T02:18:27-08:00,45000,100000,5000,150000,8000,2021-08-25T02:18:27-08:00,2000,2021-08-24T02:18:27-08:00,55000,100000,5000,160000,4000,2021-09-02T02:18:27-08:00,6000,2021-09-05T02:18:27-08:00,65000,100000,5000,170000,70000,2021-09-08T02:18:27-08:00,0,100000,0,100000
pp680 - Multiple charges through statements and payment at the end of last statement - Statements with  origination fees - charge - partial charge and origination fees payment,4,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,12000,2021-08-04T02:18:27-08:00,8000,2021-08-05T02:18:27-08:00,20000,100000,5000,125000,10000,2021-08-12T02:18:27-08:00,5000,2021-08-15T02:18:27-08:00,35000,100000,5000,140000,5000,2021-08-18T02:18:27-08:00,5000,2021-08-21T02:18:27-08:00,45000,100000,5000,150000,8000,2021-08-25T02:18:27-08:00,2000,2021-08-24T02:18:27-08:00,55000,100000,5000,160000,4000,2021-09-02T02:18:27-08:00,6000,2021-09-05T02:18:27-08:00,65000,100000,5000,170000,35000,2021-09-08T02:18:27-08:00,35000,100000,0,135000
pp681 - Multiple charges through statements and payment at the end of last statement - Statements with  no origination fees - charge - monthly fees - monthly fees only payment,5,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,500,18500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,1000,29000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,1500,39500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,2000,50000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,2500,60500,2500,2021-08-04T02:18:27-08:00,50000,8000,500,58500
pp682 - Multiple charges through statements and payment at the end of last statement - Statements with  no origination fees - charge - monthly fees - charge only payment,6,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,500,18500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,1000,29000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,1500,39500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,2000,50000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,2500,60500,50000,2021-08-04T02:18:27-08:00,2500,8000,500,11000
pp683 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - monthly fees - monthly fees and charge payment,7,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,500,18500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,1000,29000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,1500,39500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,2000,50000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,2500,60500,52500,2021-08-04T02:18:27-08:00,0,8000,500,8500
pp684 - Multiple charges through statements and payment at the end of last statement - Statements with  no origination fees - charge - monthly fees - monthly fees and partial payment,8,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,500,18500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,1000,29000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,1500,39500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,2000,50000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,2500,60500,12500,2021-08-04T02:18:27-08:00,40000,8000,500,48500
pp685 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - charge only payment,9,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,6500,24500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,7000,35000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,7500,45500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,8000,56000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,8500,66500,50000,2021-08-04T02:18:27-08:00,8500,8000,500,17000
pp686 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - monthly fees only payment,10,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,6500,24500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,7000,35000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,7500,45500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,8000,56000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,8500,66500,2500,2021-08-04T02:18:27-08:00,50000,8000,6500,64500
pp687 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - monthly fees and charge payment,11,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,6500,24500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,7000,35000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,7500,45500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,8000,56000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,8500,66500,52500,2021-08-04T02:18:27-08:00,6000,8000,500,14500
Pp688 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - all payments,12,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,6500,24500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,7000,35000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,7500,45500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,8000,56000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,8500,66500,66500,2021-08-04T02:18:27-08:00,0,0,500,500
pp689 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - pay fees and partial principal pay,13,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,2021-03-20T02:18:27-08:00,10000,8000,6500,24500,8000,2021-04-08T02:18:27-08:00,2000,2021-04-18T02:18:27-08:00,20000,8000,7000,35000,6000,2021-05-14T02:18:27-08:00,4000,2021-05-24T02:18:27-08:00,30000,8000,7500,45500,4000,2021-06-12T02:18:27-08:00,6000,2021-06-22T02:18:27-08:00,40000,8000,8000,56000,9000,2021-07-12T02:18:27-08:00,1000,2021-07-22T02:18:27-08:00,50000,8000,8500,66500,48500,2021-08-04T02:18:27-08:00,10000,8000,500,18500
pp690 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - annual fees - annual fees only payment,14,1 month,2020-10-01T08:20:34-08:00,0,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,0,120000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,0,140000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,1200,151200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,1200,161200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,1200,171200,1200,2021-03-10T08:20:34-08:00,70000,100000,0,170000
pp691 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - annual fees - charge only payment,15,1 month,2020-10-01T08:20:34-08:00,0,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,0,120000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,0,140000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,1200,151200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,1200,161200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,1200,171200,70000,2021-03-10T08:20:34-08:00,1200,100000,0,101200
pp692 - Multiple charges through statements and payment at the end of last statement - Statements with  no origination fees - charge - annual fees - annual fees and charge payment,16,1 month,2020-10-01T08:20:34-08:00,0,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,0,120000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,0,140000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,1200,151200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,1200,161200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,1200,171200,71200,2021-03-10T08:20:34-08:00,0,100000,0,100000
