tc_name,index,cycle_interval,account_effective_dt,origination_fee_cents,initial_principal_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents,stmt1_charges_principal_cents,stmt1_loans_principal_cents,stmt1_fees_balance_cents,stmt1_total_balance_cents,stmt2_charges_principal_cents,stmt2_loans_principal_cents,stmt2_fees_balance_cents,stmt2_total_balance_cents,stmt3_charges_principal_cents,stmt3_loans_principal_cents,stmt3_fees_balance_cents,stmt3_total_balance_cents,stmt4_charges_principal_cents,stmt4_loans_principal_cents,stmt4_fees_balance_cents,stmt4_total_balance_cents,stmt5_charges_principal_cents,stmt5_loans_principal_cents,stmt5_fees_balance_cents,stmt5_total_balance_cents,payment_amount,payment_effective_dt,stmt6_charges_principal_cents,stmt6_loans_principal_cents,stmt6_fees_balance_cents,stmt6_total_balance_cents
pp595 - Payment at the end of last statement - Statements with origination fees - charge - origination fees payment,1,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,5000,2021-09-08T02:18:27-08:00,0,100000,0,100000
pp596 - Payment at the end of last statement - Statements with origination fees - charge - charge only payment,2,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,100000,2021-09-08T02:18:27-08:00,0,5000,0,5000
pp597 - Payment at the end of last statement - Statements with origination fees - charge and origination fees payment,3,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,105000,2021-09-08T02:18:27-08:00,0,0,0,0
pp598 - Payment at the end of last statement - Statements with origination fees - charge - partial charge and origination fees payment,4,7 days,2021-08-01T02:18:27-08:00,5000,100000,0,0,0,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,0,100000,5000,105000,15000,2021-09-08T02:18:27-08:00,0,90000,0,90000
pp599 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - monthly fees only payment,5,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,0,8000,500,8500,0,8000,1000,9000,0,8000,1500,9500,0,8000,2000,10000,0,8000,2500,10500,2500,2021-08-04T02:18:27-08:00,0,8000,500,8500
pp600 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - charge only payment,6,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,0,8000,500,8500,0,8000,1000,9000,0,8000,1500,9500,0,8000,2000,10000,0,8000,2500,10500,8000,2021-08-04T02:18:27-08:00,0,2500,500,3000
pp601 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - monthly fees and charge payment,7,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,0,8000,500,8500,0,8000,1000,9000,0,8000,1500,9500,0,8000,2000,10000,0,8000,2500,10500,10500,2021-08-04T02:18:27-08:00,0,0,500,500
pp602 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - monthly fees and partial payment,8,1 month,2021-03-01T02:18:27-08:00,0,8000,0,500,0,0,8000,500,8500,0,8000,1000,9000,0,8000,1500,9500,0,8000,2000,10000,0,8000,2500,10500,9000,2021-08-04T02:18:27-08:00,0,1500,500,2000
pp603 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - charge only payment,9,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,0,8000,6500,14500,0,8000,7000,15000,0,8000,7500,15500,0,8000,8000,16000,0,8000,8500,16500,8000,2021-08-04T02:18:27-08:00,0,8000,1000,9000
pp604 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - monthly fees only payment,10,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,0,8000,6500,14500,0,8000,7000,15000,0,8000,7500,15500,0,8000,8000,16000,0,8000,8500,16500,2500,2021-08-04T02:18:27-08:00,0,8000,6500,14500
pp605 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - monthly fees and charge payment,11,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,0,8000,6500,14500,0,8000,7000,15000,0,8000,7500,15500,0,8000,8000,16000,0,8000,8500,16500,10500,2021-08-04T02:18:27-08:00,0,6000,500,6500
pp606 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - all payments,12,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,0,8000,6500,14500,0,8000,7000,15000,0,8000,7500,15500,0,8000,8000,16000,0,8000,8500,16500,16500,2021-08-04T02:18:27-08:00,0,0,500,500
pp607 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - pay fees and partial principal pay,13,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,0,8000,6500,14500,0,8000,7000,15000,0,8000,7500,15500,0,8000,8000,16000,0,8000,8500,16500,12000,2021-08-04T02:18:27-08:00,0,4500,500,5000
pp608 - Payment at the end of last statement - Statements with no origination fees - charge - annual fees - annual fees only payment,14,1 month,2020-10-01T08:20:34-08:00,0,100000,0,0,1200,0,100000,0,100000,0,100000,0,100000,0,100000,1200,101200,0,100000,1200,101200,0,100000,1200,101200,1200,2021-03-10T08:20:34-08:00,0,100000,0,100000
pp609 - Payment at the end of last statement - Statements with no origination fees - charge - annual fees - charge only payment,15,1 month,2020-10-01T08:20:34-08:00,0,100000,0,0,1200,0,100000,0,100000,0,100000,0,100000,0,100000,1200,101200,0,100000,1200,101200,0,100000,1200,101200,100000,2021-03-10T08:20:34-08:00,0,1200,0,1200
pp610 - Payment at the end of last statement - Statements with no origination fees - charge - annual fees - monthly fees and charge payment,16,1 month,2020-10-01T08:20:34-08:00,0,100000,0,500,1200,0,100000,500,100500,0,100000,1000,101000,0,100000,2700,102700,0,100000,3200,103200,0,100000,3700,103700,102500,2021-03-10T08:20:34-08:00,0,1200,500,1700
pp611 - Payment at the end of last statement - Statements with no origination fees - charge - annual fees - monthly fees and partial payment,17,1 month,2020-10-01T08:20:34-08:00,0,100000,0,500,1200,0,100000,500,100500,0,100000,1000,101000,0,100000,2700,102700,0,100000,3200,103200,0,100000,3700,103700,90000,2021-03-10T08:20:34-08:00,0,13700,500,14200
pp612 - Payment at the end of last statement - Statements with origination fees - charge - annual fees - annual fees only payment,18,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,0,100000,10000,110000,0,100000,10000,110000,0,100000,11200,111200,0,100000,11200,111200,0,100000,11200,111200,1200,2021-03-10T08:20:34-08:00,0,100000,10000,110000
pp613 - Payment at the end of last statement - Statements with origination fees - charge - annual fees - charge only payment,19,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,0,100000,10000,110000,0,100000,10000,110000,0,100000,11200,111200,0,100000,11200,111200,0,100000,11200,111200,100000,2021-03-10T08:20:34-08:00,0,11200,0,11200
pp614 - Payment at the end of last statement - Statements with origination fees - charge - annual fees - annual fees and charge payment,20,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,0,100000,10000,110000,0,100000,10000,110000,0,100000,11200,111200,0,100000,11200,111200,0,100000,11200,111200,101200,2021-03-10T08:20:34-08:00,0,10000,0,10000
pp615 - Payment at the end of last statement - Statements with origination fees - charge - annual fees - all payments,21,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,0,100000,10000,110000,0,100000,10000,110000,0,100000,11200,111200,0,100000,11200,111200,0,100000,11200,111200,111200,2021-03-10T08:20:34-08:00,0,0,0,0
pp616 - Payment at the end of last statement - Statements with origination fees - charge - annual fees - pay fees and partial principal pay,22,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,0,100000,10000,110000,0,100000,10000,110000,0,100000,11200,111200,0,100000,11200,111200,0,100000,11200,111200,90000,2021-03-10T08:20:34-08:00,0,21200,0,21200
pp617 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - monthly fees only payment,23,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,0,8000,500,8500,0,8000,1000,9000,0,8000,2700,10700,0,8000,3200,11200,0,8000,3700,11700,2500,2021-03-10T08:20:34-08:00,0,8000,1700,9700
pp618 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - charge only payment,24,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,0,8000,500,8500,0,8000,1000,9000,0,8000,2700,10700,0,8000,3200,11200,0,8000,3700,11700,8000,2021-03-10T08:20:34-08:00,0,3700,500,4200
pp619 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,25,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,0,8000,500,8500,0,8000,1000,9000,0,8000,2700,10700,0,8000,3200,11200,0,8000,3700,11700,10500,2021-03-10T08:20:34-08:00,0,1200,500,1700
pp620 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - annual fees and charge payment,26,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,0,8000,500,8500,0,8000,1000,9000,0,8000,2700,10700,0,8000,3200,11200,0,8000,3700,11700,9200,2021-03-10T08:20:34-08:00,0,2500,500,3000
pp621 - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - all fees and partial payment,27,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,0,8000,500,8500,0,8000,1000,9000,0,8000,2700,10700,0,8000,3200,11200,0,8000,3700,11700,7000,2021-03-10T08:20:34-08:00,0,4700,500,5200
pp622 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - monthly fees only payment,28,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,0,8000,6500,14500,0,8000,7000,15000,0,8000,8700,16700,0,8000,9200,17200,0,8000,9700,17700,2500,2021-03-10T08:20:34-08:00,0,8000,7700,15700
pp623 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - charge only payment,29,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,0,8000,6500,14500,0,8000,7000,15000,0,8000,8700,16700,0,8000,9200,17200,0,8000,9700,17700,8000,2021-03-10T08:20:34-08:00,0,8000,2200,10200
pp624 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,30,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,0,8000,6500,14500,0,8000,7000,15000,0,8000,8700,16700,0,8000,9200,17200,0,8000,9700,17700,10500,2021-03-10T08:20:34-08:00,0,7200,500,7700
pp625 - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - annual fees and charge payment,31,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,0,8000,6500,14500,0,8000,7000,15000,0,8000,8700,16700,0,8000,9200,17200,0,8000,9700,17700,9200,2021-03-10T08:20:34-08:00,0,8000,1000,9000
