tc_name,index,check_charge_reversal,check_monthly_fee,check_annual_fee,product_type,install_product_type,credit_product_type,revolve_product_type,charge_product_type,account_effective_dt,cycle_interval,cycle_due_interval,account_effective_dt_time,initial_principal_cents,origination_fee_cents,late_fee_cents,payment_reversal_fee_cents,monthly_fee_cents,Annual_fee_cents,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,stmt1_charge_effective_dt,stmt1_charge_amount,payment_effective_date,payment_amt_cents,payment1_effective_date,payment2_amt_cents,payment_amt_rev,fee_balance,fee_balance_rev,principal_balance,principal_balance_rev,am_int_cents,am_int_cents_rev,int_bal_cents,int_bal_cents_rev,total_balance,total_balance_rev,available_credit_cents,Rolltime_before_reversal,Rolltime_after_reversal,stmt_before_reversal,stmt_after_reversal
PP460 - Statement Verification of Installment loan - Origination fees Interest Late fees Repayments  Payment Reversals,1,FALSE,FALSE,FALSE,Installment,Installment,,,,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,0,NONE,0,0,0,0,-3,123500,0,0,-123500,0,23500,0,100000,0,0,,,0,123576,300000,2,7,0,1
PP461 - Statement Verification of Credit cards - Origination fees Monthly fees Annual Fees Late fees Charges Repayments  Payment Reversals,2,FALSE,TRUE,TRUE,Revolving,,,revolving,,-467,30 days,5 days,0,100000,20000,3500,2000,1000,4000,0,9999,PERCENT_INTEREST,2,10,0,0,-20,24000,0,0,-24000,15000,46500,100000,100000,,,0,0,115000,140000,200000,15,35,14,15
PP462 - Statement Verification of Revolving LOC - Origination fees Monthly fees Annual Fees  Credits and Charges,3,FALSE,TRUE,TRUE,Credit,,Credit,,,-467,30 days,5 days,0,100000,20000,3500,2000,1000,4000,0,9999,PERCENT_PRINCIPAL,2,10,0,0,-40,24000,0,0,-24000,15000,46500,100000,100000,,,0,0,115000,140000,200000,15,60,14,15
PP463 - Statement Verification of Installment product correctness of all fields displayed on statement ,4,FALSE,FALSE,FALSE,Installment,Installment,,,,-4,7 days,2 days,0,100000,20000,3500,2000,0,0,0,0,NONE,0,0,0,0,0,120000,0,0,-120000,0,23500,0,100000,0,0,,,0,123576,300000,7,12,0,1
PP464 - Statement Verification of Revolving product of all fields displayed on statement ,5,FALSE,FALSE,FALSE,Revolving,,,revolving,,-10,7 days,2 days,0,100000,20000,0,2000,0,0,0,4,PERCENT_INTEREST,2,10,0,0,-3,120000,0,0,-120000,0,20000,0,100000,,,0,0,0,120000,300000,2,7,0,1
PP465 - Statement Verification of Credit product correctness of all fields displayed on statement ,6,FALSE,FALSE,FALSE,Credit,,Credit,,,-4,7 days,2 days,0,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,0,0,0,0,120000,0,0,-120000,0,23500,0,100000,,,0,0,0,123576,300000,7,12,0,1
PP466 - Statement Verification of Installment product by Backdating a line item / Transaction during the current cycle,7,FALSE,FALSE,FALSE,Installment,Installment,,,,-4,7 days,2 days,0,100000,20000,3500,2000,0,0,0,0,NONE,0,0,0,0,-2,20000,0,100000,-100000,0,0,0,100000,0,0,,,0,100000,300000,7,12,0,1
PP467 - Statement Verification of charge product by Backdating a line item / Transaction during the current cycle,8,FALSE,FALSE,FALSE,Charge,,,,charge,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,0,0,0,-5,10000,0,0,-10000,10000,23500,100000,100000,,,0,0,110000,120000,200000,2,7,0,1
PP468 - Statement Verification of revolving product by Backdating a line item / Transaction during the current cycle,9,FALSE,FALSE,FALSE,Revolving,,,revolving,,-10,7 days,2 days,0,100000,20000,0,2000,0,0,0,4,PERCENT_INTEREST,2,10,0,0,-3,120000,0,0,-120000,0,20000,0,100000,,,0,0,0,120000,300000,2,7,0,1
PP469 - Statement Verification  of Credit product by Backdating a line item / Transaction after the current cycle and after Statement has been generated of the current cycle,10,FALSE,FALSE,FALSE,Credit,,Credit,,,-10,7 days,2 days,0,100000,20000,3500,2000,0,0,0,6,PERCENT_PRINCIPAL,0,0,0,0,-3,10000,0,0,-10000,10000,23500,100000,100000,,,0,0,110000,120000,200000,2,7,0,1
PP1464 - Statement Verification of Credit cards- Origination fees Monthly fees Annual Fees Late fees Charges Repayments  Payment Reversals,11,FALSE,TRUE,FALSE,installment,Installment,,,,-367,30 days,5 days,0,300000,15000,2900,6000,50000,0,0,0,NONE,0,0,0,0,-10,146000,0,0,-146000,450900,450900,300000,300000,11964,11964,,,762864,762864,0,15,35,11,12
PP1465 - Statement Verification of Credit product correctness of all fields displayed on statement by applying charge reversal,12,TRUE,FALSE,FALSE,Credit,,Credit,,,-4,7 days,2 days,0,50000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,0,-1,50000,0,120000,0,0,-120000,0,23500,0,100000,,,0,0,0,123576,300000,7,12,0,1
PP1466 - Statement Verification of Charge product correctness of all fields displayed on statement by applying charge reversal,13,TRUE,FALSE,FALSE,Charge,,,,charge,-10,7 days,2 days,0,50000,20000,3500,2000,0,0,0,99999,PERCENT_PRINCIPAL,0,0,-6,50000,-5,10000,0,0,-10000,10000,23500,100000,100000,,,0,0,110000,120000,200000,2,7,0,1
