tc_name,index,exp_product_type,exp_product_file_name,product_effective_dt,cycle_interval,cycle_due_interval,first_cycle_interval,product_time_zone,promo_len,promo_min_pay_type,delinquent,charge_off,post_promo_len,acc_promo_len,acc_promo_min_pay_type,acc_promo_purchase_window_len,acc_promo_interest_deferred,acc_promo_min_pay_percent,acc_promo_impl_interest_rate_percent,account_effective_dt,credit_limit_cents,initial_principal_cents,exp_loan_end_dt,exp_promo_start_dt,exp_promo_end_dt
TZ-68 - Validate timezone of an Installment account in Honolulu,1,INSTALLMENT,payment_product.json,2017-12-15T09:15:00-09:00,1 month,2 days,1 month,Pacific/Honolulu,0,NONE,99,9999,12,-1,delete,-1,delete,-1,-1,2021-12-15T11:00:00-10:00,300000,100000,2022-12-18T00:00:00-10:00,2021-12-16T00:00:00-10:00,2022-12-18T00:00:00-10:00
TZ-69 - Validate timezone of an Installment account in Anchorage,2,INSTALLMENT,payment_product.json,2017-12-15T09:15:00-09:00,1 month,2 days,1 month,America/Anchorage,0,NONE,99,9999,12,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-09:00,300000,100000,2022-12-18T00:00:00-09:00,2021-12-16T00:00:00-09:00,2022-12-18T00:00:00-09:00
TZ-70 - Validate timezone of an Installment account in Adak,3,INSTALLMENT,payment_product.json,2017-12-15T09:10:00-10:00,1 month,2 days,1 month,America/Adak,0,NONE,99,9999,12,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-10:00,300000,100000,2022-12-18T00:00:00-10:00,2021-12-16T00:00:00-10:00,2022-12-18T00:00:00-10:00
TZ-71 - Validate timezone of an Installment account in Dawson,4,INSTALLMENT,payment_product.json,2017-12-15T10:22:00-08:00,1 month,2 days,1 month,America/Dawson,0,NONE,99,9999,12,-1,delete,-1,delete,-1,-1,2021-12-15T10:00:00-07:00,300000,100000,2022-12-18T00:00:00-07:00,2021-12-16T00:00:00-07:00,2022-12-18T00:00:00-07:00
TZ-72 - Validate timezone of an Installment account in Phoenix,5,INSTALLMENT,payment_product.json,2017-12-15T09:00:00-07:00,1 month,2 days,1 month,America/Phoenix,0,NONE,99,9999,10,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-07:00,300000,100000,2022-10-18T00:00:00-07:00,2021-12-16T00:00:00-07:00,2022-10-18T00:00:00-07:00
TZ-73 - Validate timezone of an Installment account in Hermosillo,6,INSTALLMENT,payment_product.json,2017-12-15T09:00:00-07:00,1 month,2 days,1 month,America/Hermosillo,0,NONE,99,9999,10,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-07:00,300000,100000,2022-10-18T00:00:00-07:00,2021-12-16T00:00:00-07:00,2022-10-18T00:00:00-07:00
TZ-74 - Validate timezone of an Installment account in Regina,7,INSTALLMENT,payment_product.json,2017-12-15T11:00:00-06:00,1 month,2 days,1 month,America/Regina,0,NONE,99,9999,10,-1,delete,-1,delete,-1,-1,2021-12-15T09:05:00-06:00,300000,100000,2022-10-18T00:00:00-06:00,2021-12-16T00:00:00-06:00,2022-10-18T00:00:00-06:00
TZ-75 - Validate timezone of an Revolving account in Los Angeles,8,Revolving,product_revolving.json,2017-12-15T12:00:00-08:00,1 month,2 days,1 month,America/Los_Angeles,9999,PERCENT_PRINCIPAL,99,9999,0,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-08:00,300000,100000,,,
TZ-76 - Validate timezone of an Revolving account in Denver,9,Revolving,product_revolving.json,2017-12-15T13:00:00-07:00,1 month,2 days,1 month,America/Denver,9999,PERCENT_PRINCIPAL,99,9999,0,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-07:00,300000,100000,,,
TZ-77 - Validate timezone of an Revolving account in Nipigon,10,Revolving,product_revolving.json,2017-12-15T14:00:00-05:00,1 month,2 days,1 month,America/Nipigon,9999,PERCENT_PRINCIPAL,99,9999,0,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-05:00,300000,100000,,,
TZ-78 - Validate timezone of an Revolving account in Indianapolis,11,Revolving,product_revolving.json,2017-12-15T15:00:00-05:00,1 month,2 days,1 month,America/Indiana/Indianapolis,9999,PERCENT_PRINCIPAL,99,9999,0,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-05:00,300000,100000,,,
TZ-79 - Validate timezone of an Revolving account in Toronto,12,Revolving,product_revolving.json,2017-12-15T16:00:00-05:00,1 month,2 days,1 month,America/Toronto,9999,PERCENT_PRINCIPAL,99,9999,0,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-05:00,300000,100000,,,
TZ-80 - Validate timezone of an Installment account in Panama,13,INSTALLMENT,payment_product.json,2017-12-15T17:00:00-05:00,1 month,2 days,1 month,America/Panama,0,NONE,99,9999,12,-1,delete,-1,delete,-1,-1,2021-12-15T09:00:00-05:00,300000,100000,2022-12-18T00:00:00-05:00,2021-12-16T00:00:00-05:00,2022-12-18T00:00:00-05:00
