tc_name,index,product_effective_at,product_template_name,product_time_zone,cycle_interval,cycle_due_interval,account_effective_at,rolltime,exp_effective_at,exp_min_pay_due_at,exp_cycle_inclusive_start,exp_cycle_exclusive_end
TZ_01 Cycle level Day Light Savings timezone for America/Anchorage,1,2019-11-20T09:11:28-09:00,product_installment.json,America/Anchorage,1 month,28 days,2021-02-20T10:11:28-08:00,2021-04-30,2021-02-20T09:11:28-09:00,2021-05-19T00:00:00-08:00,2021-03-21T00:00:00-08:00,2021-04-21T00:00:00-08:00
TZ_02 Cycle level Day Light Savings timezone for America/Adak,2,2019-12-20T19:11:28-10:00,product_installment.json,America/Adak,1 month,28 days,2021-02-12T08:11:28-09:00,2021-04-30,2021-02-12T07:11:28-10:00,2021-05-11T00:00:00-09:00,2021-03-13T00:00:00-10:00,2021-04-13T00:00:00-09:00
TZ_03 Cycle level Day Light Savings timezone for America/Los_Angeles,3,2020-01-27T13:19:56-08:00,product_revolving.json,America/Los_Angeles,1 month,28 days,2022-02-15T13:00:00-04:00,2022-05-15,2022-02-15T09:00:00-08:00,2022-05-14T00:00:00-07:00,2022-03-16T00:00:00-07:00,2022-04-16T00:00:00-07:00
TZ_04 Cycle level Day Light Savings timezone for America/Denver,4,2016-11-27T13:19:56-07:00,product_revolving.json,America/Denver,1 month,28 days,2021-12-25T14:00:00-03:00,2022-04-15,2021-12-25T10:00:00-07:00,2022-04-23T00:00:00-06:00,2022-02-26T00:00:00-07:00,2022-03-26T00:00:00-06:00
TZ_05 Cycle level Day Light Savings timezone for America/Toronto,5,2016-11-27T13:19:56-05:00,product_revolving.json,America/Toronto,1 month,28 days,2022-01-04T02:00:00-02:00,2022-05-15,2022-01-03T23:00:00-05:00,2022-06-01T00:00:00-04:00,2022-04-04T00:00:00-04:00,2022-05-04T00:00:00-04:00
TZ_06 Cycle level Day Light Savings timezone for America/Chicago,6,2019-02-20T09:11:28-06:00,product_installment.json,America/Chicago,30 days ,28 days,2022-01-01T05:12:12-04:00,2022-05-15,2022-01-01T03:12:12-06:00,2022-05-30T00:00:00-05:00,2022-04-02T00:00:00-05:00,2022-05-02T00:00:00-05:00
TZ_07 Cycle level Day Light Savings timezone for America/Vancouver,7,2019-02-20T09:11:28-08:00,product_installment.json,America/Vancouver,1 month,28 days,2022-01-15T09:10:22-06:00,2022-05-15,2022-01-15T07:10:22-08:00,2022-05-14T00:00:00-07:00,2022-03-16T00:00:00-07:00,2022-04-16T00:00:00-07:00
TZ_08 Cycle level Day Light Savings timezone for America/New_York,8,2019-02-20T09:11:28-05:00,product_csv.json,America/New_York,7 days,5 days,2022-02-03T11:08:45-08:00,2022-05-15,2022-02-03T14:08:45-05:00,2022-05-18T00:00:00-04:00,2022-05-06T00:00:00-04:00,2022-05-13T00:00:00-04:00
TZ_09 Cycle level Day Light Savings timezone for America/Dawson,9,2019-02-20T09:11:28-08:00,product_csv.json,America/Dawson,7 days,5 days,2022-01-10T03:23:10-04:00,2022-05-15,2022-01-10T00:23:10-07:00,2022-05-15T00:00:00-07:00,2022-05-03T00:00:00-07:00,2022-05-10T00:00:00-07:00
TZ_10 Cycle level Day Light Savings timezone for America/Indiana/Knox,10,2016-11-27T13:19:56-06:00,product_revolving.json,America/Indiana/Knox,1 month,28 days,2022-02-05T15:11:33-08:00,2022-05-15,2022-02-05T17:11:33-06:00,2022-06-03T00:00:00-05:00,2022-04-06T00:00:00-05:00,2022-05-06T00:00:00-05:00
