tc_name,index,product_effective_at,product_template_name,product_time_zone,cycle_interval,cycle_due_interval,account_effective_at,rolltime,exp_min_pay_due_at,exp_cycle_inclusive_start,exp_cycle_exclusive_end,exp_effective_at
TZ_159,1,2017-12-15T09:11:28-05:00,product_installment.json,America/Louisville,1 month,2 days,2021-12-15T09:00:00-05:00,2022-01-30,2022-01-18T00:00:00-05:00,2021-12-15T09:00:00-05:00,2022-01-16T00:00:00-05:00,2021-12-15T09:00:00-05:00
TZ_163,2,2019-02-20T09:11:28-05:00,product_installment.json,America/Detroit,1 month,2 days,2021-12-15T09:00:00-05:00,2022-01-30,2022-01-18T00:00:00-05:00,2021-12-15T09:00:00-05:00,2022-01-16T00:00:00-05:00,2021-12-15T09:00:00-05:00
TZ_156,3,2019-02-20T09:11:28-06:00,product_installment.json,America/Guatemala,1 month,2 days,2021-12-15T20:00:00-06:00,2022-01-30,2022-01-18T00:00:00-06:00,2021-12-15T20:00:00-06:00,2022-01-16T00:00:00-06:00,2021-12-15T20:00:00-06:00
TZ_166,4,2019-02-20T09:11:28-06:00,product_installment.json,America/Winnipeg,1 month,2 days,2021-12-15T05:00:00-06:00,2022-01-30,2022-01-18T00:00:00-06:00,2021-12-15T05:00:00-06:00,2022-01-16T00:00:00-06:00,2021-12-15T05:00:00-06:00
TZ_138,5,2019-02-20T09:11:28-07:00,product_installment.json,America/Dawson,1 month,2 days,2021-12-15T09:00:00-07:00,2022-01-30,2022-01-18T00:00:00-07:00,2021-12-15T09:00:00-07:00,2022-01-16T00:00:00-07:00,2021-12-15T09:00:00-07:00
TZ_139,6,2019-02-20T09:11:28-07:00,product_installment.json,America/Phoenix,1 month,2 days,2021-12-15T11:00:20-07:00,2022-01-30,2022-01-18T00:00:00-07:00,2021-12-15T11:00:20-07:00,2022-01-16T00:00:00-07:00,2021-12-15T11:00:20-07:00
TZ_173,7,2019-02-20T09:11:28-08:00,product_installment.json,America/Vancouver,1 month,2 days,2021-12-15T09:00:00-08:00,2022-01-30,2022-01-18T00:00:00-08:00,2021-12-15T09:00:00-08:00,2022-01-16T00:00:00-08:00,2021-12-15T09:00:00-08:00
TZ_136,8,2019-02-20T09:11:28-09:00,product_installment.json,America/Anchorage,1 month,2 days,2021-12-15T09:00:00-09:00,2022-01-30,2022-01-18T00:00:00-09:00,2021-12-15T09:00:00-09:00,2022-01-16T00:00:00-09:00,2021-12-15T09:00:00-09:00
TZ_137,9,2019-02-20T09:11:28-10:00,product_installment.json,America/Adak,1 month,2 days,2021-12-15T10:00:00-10:00,2022-01-30,2022-01-18T00:00:00-10:00,2021-12-15T10:00:00-10:00,2022-01-16T00:00:00-10:00,2021-12-15T10:00:00-10:00
TZ_144,10,2016-11-27T13:19:56-05:00,product_revolving.json,America/Toronto,1 month,2 days,2021-12-15T15:00:00-05:00,2022-01-30,2022-01-18T00:00:00-05:00,2021-12-15T15:00:00-05:00,2022-01-16T00:00:00-05:00,2021-12-15T15:00:00-05:00
TZ_145,11,2016-11-27T13:19:56-05:00,product_revolving.json,America/Thunder_Bay,30 days,2 days,2021-12-15T16:00:00-05:00,2022-01-30,2022-01-17T00:00:00-05:00,2021-12-15T16:00:00-05:00,2022-01-15T00:00:00-05:00,2021-12-15T16:00:00-05:00
TZ_143,12,2016-11-27T13:19:56-07:00,product_revolving.json,America/Denver,1 month,2 days,2021-12-15T14:00:00-07:00,2022-01-30,2022-01-18T00:00:00-07:00,2021-12-15T14:00:00-07:00,2022-01-16T00:00:00-07:00,2021-12-15T14:00:00-07:00
TZ_201,13,2016-11-27T13:19:56-07:00,product_revolving.json,America/Boise,1 month,2 days,2021-12-15T09:00:00-07:00,2022-01-30,2022-01-18T00:00:00-07:00,2021-12-15T09:00:00-07:00,2022-01-16T00:00:00-07:00,2021-12-15T09:00:00-07:00
TZ_142,14,2016-11-27T13:19:56-08:00,product_revolving.json,America/Los_Angeles,1 month,2 days,2021-12-15T13:00:00-08:00,2022-01-30,2022-01-18T00:00:00-08:00,2021-12-15T13:00:00-08:00,2022-01-16T00:00:00-08:00,2021-12-15T13:00:00-08:00
TZ_186,15,2020-03-10T09:11:28-05:00,mixed_rate_installment_product.json,America/Iqaluit,1 month,2 days,2021-12-15T09:00:00-05:00,2022-01-30,2022-01-18T00:00:00-05:00,2021-12-15T09:00:00-05:00,2022-01-16T00:00:00-05:00,2021-12-15T09:00:00-05:00
TZ_188,16,2020-03-10T09:11:28-05:00,mixed_rate_installment_product.json,America/Cayman,1 month,2 days,2021-12-15T09:00:00-05:00,2022-01-30,2022-01-18T00:00:00-05:00,2021-12-15T09:00:00-05:00,2022-01-16T00:00:00-05:00,2021-12-15T09:00:00-05:00
TZ_189,17,2020-03-10T09:11:28-06:00,mixed_rate_installment_product.json,America/Monterrey,1 month,2 days,2021-12-15T09:00:00-06:00,2022-01-30,2022-01-18T00:00:00-06:00,2021-12-15T09:00:00-06:00,2022-01-16T00:00:00-06:00,2021-12-15T09:00:00-06:00
TZ_193,18,2020-03-10T09:11:28-06:00,mixed_rate_installment_product.json,America/Merida,1 month,2 days,2021-12-15T09:00:00-06:00,2022-01-30,2022-01-18T00:00:00-06:00,2021-12-15T09:00:00-06:00,2022-01-16T00:00:00-06:00,2021-12-15T09:00:00-06:00
TZ_185,19,2020-03-10T09:11:28-07:00,mixed_rate_installment_product.json,America/Inuvik,1 month,2 days,2021-12-15T09:00:00-07:00,2022-01-30,2022-01-18T00:00:00-07:00,2021-12-15T09:00:00-07:00,2022-01-16T00:00:00-07:00,2021-12-15T09:00:00-07:00
TZ_190,20,2020-03-10T09:11:28-07:00,mixed_rate_installment_product.json,America/Edmonton,1 month,2 days,2021-12-15T09:00:00-07:00,2022-01-30,2022-01-18T00:00:00-07:00,2021-12-15T09:00:00-07:00,2022-01-16T00:00:00-07:00,2021-12-15T09:00:00-07:00
TZ_184,21,2020-03-10T09:11:28-08:00,mixed_rate_installment_product.json,America/Whitehorse,1 month,2 days,2021-12-15T09:00:00-08:00,2022-01-30,2022-01-18T00:00:00-07:00,2021-12-15T10:00:00-07:00,2022-01-16T00:00:00-07:00,2021-12-15T10:00:00-07:00
TZ_154,22,2016-11-27T13:19:56-05:00,product_charge_time_zone.json,America/Indianapolis,7 days,2days,2021-12-15T09:00:00-05:00,2021-12-28,2021-12-25T00:00:00-05:00,2021-12-15T09:00:00-05:00,2021-12-23T00:00:00-05:00,2021-12-15T09:00:00-05:00
TZ_149,23,2016-11-27T13:19:56-05:00,product_charge_time_zone.json,America/Nipigon,7 days,2days,2021-12-15T09:00:00-05:00,2021-12-28,2021-12-25T00:00:00-05:00,2021-12-15T09:00:00-05:00,2021-12-23T00:00:00-05:00,2021-12-15T09:00:00-05:00
TZ_148,24,2016-11-27T13:19:56-06:00,product_charge_time_zone.json,America/Regina,7 days,2days,2021-12-15T09:15:00-06:00,2021-12-28,2021-12-25T00:00:00-06:00,2021-12-15T09:15:00-06:00,2021-12-23T00:00:00-06:00,2021-12-15T09:15:00-06:00
TZ_155,25,2016-11-27T13:19:56-06:00,product_charge_time_zone.json,America/Managua,7 days,2days,2021-12-15T19:00:00-06:00,2021-12-28,2021-12-25T00:00:00-06:00,2021-12-15T19:00:00-06:00,2021-12-23T00:00:00-06:00,2021-12-15T19:00:00-06:00
TZ_151,26,2016-11-27T13:19:56-07:00,product_charge_time_zone.json,America/Boise,7 days,2days,2021-12-15T09:00:00-07:00,2021-12-28,2021-12-25T00:00:00-07:00,2021-12-15T09:00:00-07:00,2021-12-23T00:00:00-07:00,2021-12-15T09:00:00-07:00
TZ_152,27,2016-11-27T13:19:56-08:00,product_charge_time_zone.json,America/Tijuana,7 days,2days,2021-12-15T09:00:00-08:00,2021-12-28,2021-12-25T00:00:00-08:00,2021-12-15T09:00:00-08:00,2021-12-23T00:00:00-08:00,2021-12-15T09:00:00-08:00
TZ_150,28,2016-11-27T13:19:56-10:00,product_charge_time_zone.json,Pacific/Honolulu,7 days,2days,2021-12-15T09:00:00-10:00,2021-12-28,2021-12-25T00:00:00-10:00,2021-12-15T09:00:00-10:00,2021-12-23T00:00:00-10:00,2021-12-15T09:00:00-10:00
